Título de la pista,Artista,BPM,Tiempo,Tonalidad,Ubicación,Comentarios,Fecha añadida
"Yo x Ti, Tu x Mi",Rosalía;Ozuna,"92,00",3:21,Ebm,"/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Yo x Ti, Tu x Mi.mp3",2A,2022-03-21
Normal,Juls;Kojey Radical,"130,00",3:36,Am,/Users/Hit/Desktop/AIb2bDJ - Final/1-02 Normal.mp3,11A,2022-03-21
Boing Boing,Lauwtje;Famke Louise;Poke,"100,00",3:15,F,/Users/Hit/Desktop/AIb2bDJ - Final/1-03 Boing Boing.mp3,5A,2020-01-17
OEFF,Yung Felix;Poke,"120,00",2:14,Ebm,/Users/Hit/Desktop/AIb2bDJ - Final/1-04 OEFF.mp3,12B,2022-03-21
Todo Os Dias,MC Buzzz;King Doudou,"130,00",2:46,Gm,/Users/Hit/Desktop/AIb2bDJ - Final/1-08 Todo Os Dias.mp3,6A,2022-03-21
P FKN R,Bad Bunny;Kendo Kaponi;Arcangel,"100,95",4:18,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/1-18 P FKN R.mp3,5A,2022-03-21
"Up Inna (Beam, Cham & Alicai Harley Remix) [feat. BEAM, Cham & Alicaì Harley]","Cadenza, M.I.A. & GuiltyBeatz","123,00",3:47,Fm,"/Users/Hit/Desktop/AIb2bDJ - Final/02 Up Inna (Beam, Cham & Alicai Harley Remix) [feat. BEAM, Cham & Alicaì Harley].m4a",,2021-10-03
Brrrrrr (What Happened?),Falcons,"90,00",3:38,F#m,/Users/Hit/Desktop/AIb2bDJ - Final/03 Brrrrrr (What Happened_).mp3,10A,2022-03-21
Gimme the Light,Sean Paul,"107,18",3:48,Dm,/Users/Hit/Desktop/AIb2bDJ - Final/03 Gimme the Light.mp3,7A,2022-03-21
Partout,Lunice,"128,00",2:32,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/03 Partout.mp3,9A,2022-03-21
Sentah (feat. Bryte),"Mina, Bryte","125,00",3:08,Dm,/Users/Hit/Desktop/AIb2bDJ - Final/03 Sentah (feat. Bryte).mp3,7A,2022-03-21
Mahabbah,Tropkillaz,"103,00",2:58,Em,/Users/Hit/Desktop/AIb2bDJ - Final/04 Mahabbah.m4a,8A,2022-03-21
Marimba Rija,Dotorado Pro,"130,00",3:00,Am,/Users/Hit/Desktop/AIb2bDJ - Final/04 Marimba Rija.m4a,8A,2022-03-21
Stuck On You,Pedro/Bryte,"130,00",2:50,C,/Users/Hit/Desktop/AIb2bDJ - Final/07 - Stuck On You.mp3,,2021-07-02
Blink (Prod. DJ Florentino) (feat. El Guincho & Florentino),Bad Gyal,"94,00",4:32,Eb,/Users/Hit/Desktop/AIb2bDJ - Final/07 Blink (Prod. DJ Florentino) (feat. El Guincho & Florentino).m4a,5A,2022-03-21
Mad Gaal,BEAM,"100,00",2:17,Bb,/Users/Hit/Desktop/AIb2bDJ - Final/07 Mad Gaal.m4a,5A,2022-03-21
Proper English,Vybz Kartel,"174,60",4:01,Cm,/Users/Hit/Desktop/AIb2bDJ - Final/07 Proper English.mp3,4A,2022-03-21
Banku Dade,Jowaa,"126,00",3:36,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/11 Banku Dade.mp3,4A,2022-03-21
Bad Riddim,A-Star,"130,00",2:49,Bbm,/Users/Hit/Desktop/AIb2bDJ - Final/A-Star - Bad Riddim.mp3,4A,2022-03-21
Sweating,Alewya,"102,00",3:24,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/Alewya - Sweating.mp3,10A,2022-03-21
Cyanide,Avelino;Not3s,"108,00",2:43,Am,/Users/Hit/Desktop/AIb2bDJ - Final/Avelino - Boasy.mp3,7A,2022-03-21
Bandoe (Dirty),Donae'o ft. Don E,"128,00",3:01,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/Bandoe (Dirty).mp3,9A,2022-03-21
MPTS,Branko/Pedro,"127,00",3:18,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/Branko - MPTS.mp3,,2021-07-02
Bum Bum Tam Tam - AVI S Remix,MC Fioti,"128,00",2:43,Dm,/Users/Hit/Desktop/AIb2bDJ - Final/Bum Bum Tam Tam - AVI S Remix.mp3,11A,2022-03-21
Kelegbe,Candy Bleakz,"122,00",3:00,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/Candy Bleakz - Kelegbe.mp3,4A,2022-03-21
Day 'N' Nite,Kid Cudi,"138,00",3:07,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/Day 'N' Nite.mp3,10A,2022-03-21
Dumebi (S!RENE Edit),Rema,"109,97",3:24,Bm,/Users/Hit/Desktop/AIb2bDJ - Final/Dumebi (S!RENE Edit).mp3,10A,2020-04-11
Chop Chop,DyDy;Gold Gad,"99,00",2:39,Gm,/Users/Hit/Desktop/AIb2bDJ - Final/DyDy - Chop Chop.mp3,6A,2022-03-21
Gyal Dem Move,Falcons & Juelz,"130,00",3:45,Ebm,/Users/Hit/Desktop/AIb2bDJ - Final/Gyal Dem Move.mp3,2A,2022-03-21
Addio Mare (feat. Astroboi),Highkili;Astroboi,"96,00",3:12,Ab,/Users/Hit/Desktop/AIb2bDJ - Final/Highkili - Addio Mare (feat. Astroboi).mp3,5A,2022-03-21
I'm On (Clean),Tion Wayne ft. Kojo Funds,"102,00",2:52,Cm,/Users/Hit/Desktop/AIb2bDJ - Final/I'm On (Clean).mp3,4A - Energy 6,2022-03-21
Wasteman,Jada Kingdom;Stalk Ashley,"90,00",3:29,Em,/Users/Hit/Desktop/AIb2bDJ - Final/Jada Kingdom - Wasteman.mp3,10A,2021-06-19
