,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm
843,P FKN R,Bad Bunny;Kendo Kaponi;Arcangel,1FmFxG3Dfi8,BAD BUNNY x KENDO KAPONI x ARCANGEL - P FKN R | YHLQMDLG [Visualizer],1 year ago,31379733.0,4:19,259.0,Bad Bunny,2403,Reggaeton;Latin Music,100.95
866,Blink (Prod. DJ Florentino) (feat. El Guincho & Florentino),Bad Gyal,Q1DaQA7bW80,Bad Gyal - Blink (Prod. DJ Florentino),3 years ago,3574884.0,4:12,252.0,Bad Gyal,648,Hip-Hop/Rap,94.0
895,Santa Maria,Bad Gyal;Busy Signal,wlJeZvdlx4E,Bad Gyal - Santa Maria ft. Busy Signal,2 years ago,21203554.0,2:36,156.0,Bad Gyal,2144,Pop;Latin Music,107.0
896,Live Up To My Name (Dirty),Baka Not Nice,1CG42XV0LOE,BAKA NOT NICE - Live Up To My Name (Official Video),4 years ago,14575154.0,3:04,184.0,BAKA NOT NICE,2005,,130.0
906,Baza Ba Skivere,Bala Bala Boyz,y1t3JhPlaPs,Bala Bala Boyz - Baza Ba Skivere,2 years ago,266613.0,3:15,195.0,NTS,19,Dance,124.0
930,Heirloom,Basenji,Ki300WC61UE,Basenji - Heirloom [Official Music Video],6 years ago,461892.0,3:29,209.0,Future Classic,227,,145.0
950,Dawn,Basenji,sfO8NkUF2AY,Basenji - Dawn,7 years ago,2503361.0,3:21,201.0,TheSoundYouNeed,321,,120.0
973,Mad Gaal,BEAM,XXZBPKBDEJE,BEAM - MAD GAAL (Audio),1 year ago,172978.0,2:20,140.0,whoisbeam,52,Hip-Hop/Rap,100.0
998,Blade (Tidal Wave Of Love) Demo,Ben Khan,rtrFTtEPCl4,Ben Khan | Blade (Tidal Wave Of Love) Demo,5 years ago,116280.0,3:10,190.0,Ben Khan,81,,123.0
1030,Fallin Love (Cashmere Cat Remix),BenZel,E73RoXCUj4A,BenZel - Fallin Love (Cashmere Cat Remix) [FREE DL],8 years ago,66157.0,3:32,212.0,Run The Trap,17,,140.0
1067,Baby Boy,Beyoncé;Sean Paul,8ucz_pm3LX8,Beyoncé - Baby Boy (Video) ft. Sean Paul,11 years ago,143103000.0,4:10,250.0,Beyoncé,1430,Pop;R&B,91.14
1087,Badman Ollo,Bizzey;Yung Felix;Josylvio;3robi,49PWgKvGHPY,Bizzey x Yung Felix x Josylvio - Badman Ollo ft. 3Robi,4 years ago,10367929.0,3:53,233.0,noahsarklabel,879,Rap/Hip Hop,108.0
1121,Ramen Noodles,Bizzy Crook,SKrDawdUkRQ,Bizzy Crook - Ramen Noodles (Official Music Video),1 year ago,47905.0,3:17,197.0,Bizzy Crook,47,Rap/Hip Hop,79.0
1133,RITMO (Bad Boys For Life),Black Eyed Peas;J Balvin,EzKkl64rRbM,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",1 year ago,920149493.0,3:39,219.0,Black Eyed Peas,1156,Pop,105.0
1151,Really Love,Body Language,P-uzKBPCyBU,Body Language - Really Love (Official Video),6 years ago,96163.0,4:08,248.0,Body Language,31,Pop,81.0
1153,Melba's Call (feat. Kelela),Bok Bok,iprGdZfZe1k,BOK BOK featuring KELELA - Melba's Call,7 years ago,196921.0,4:12,252.0,Night Slugs,66,Bass,140.0
1166,Gold (Star Slinger Refix),Bondax,CJrImCJWz18,Bondax - Gold (Star Slinger Refix),8 years ago,41264.0,4:28,268.0,Bondax,17,,125.0
1171,Millions de mélos,Bramsito;Soprano,0Tq8UljdY-Y,Bramsito - Millions De Mélos ft. Soprano,2 years ago,6984845.0,3:08,188.0,Bramsito,839,Rap/Hip Hop,126.0
1183,Lucuma,Branko & Dengue Dengue Dengue,dr8XNLJJI5g,Branko & Dengue Dengue Dengue - Lucuma,2 years ago,36761.0,3:16,196.0,Branko,13,Electronic / Pop / Bass,130.0
1195,MPTS,Branko/Pedro,gbHGi2aWxEU,Branko & PEDRO - MPTS (Chords Version),2 years ago,190096.0,3:19,199.0,Branko,63,Electro;Dance;Disco,127.0
1298,Batty Rider,Buju Banton,r_CnegWUtXs,Buju Banton- Batty Rider,10 years ago,631169.0,3:59,239.0,Dungababylon,100,Reggae,97.58
1327,Anybody,Burna Boy,so4dgTRaWFk,Burna Boy - Anybody [Official Music Video],2 years ago,46880333.0,3:16,196.0,Burna Boy,2659,,104.0
1352,Collateral Damage,Burna Boy,XogujO9Cuko,Burna Boy - Collateral Damage [Official Audio],2 years ago,13312066.0,3:18,198.0,Burna Boy,858,,102.0
1363,Show & Tell (feat. Future),Burna Boy;Future,afcdzjMw_8k,Burna Boy - Show & Tell (feat. Future) [prod. by Dre Skull & Skrillex] (Official Audio),2 years ago,876188.0,2:43,163.0,Burna Boy,218,,100.0
1364,Gum Body (feat. Jorja Smith),Burna Boy;Jorja Smith,iN2J9i5B6Ac,Burna Boy - Gum Body (Feat. Jorja Smith) [Official Music Video],1 year ago,33402602.0,3:21,201.0,Burna Boy,2072,Rap/Hip Hop,97.0
1365,This Side (feat. YG),Burna Boy;YG,tDtJ9k9ofEg,Burna Boy - This Side (feat. YG) [Official Audio],2 years ago,999945.0,3:23,203.0,Burna Boy,319,,100.0
1367,Antes de Morirme (feat. Rosalía),C. Tangana,RxKVWs_qYBk,C. Tangana - Antes de morirme feat. Rosalía (Video Oficial),5 years ago,100563514.0,3:30,210.0,AgzTv,1615,Pop,196.0
1390,De Pie,C. Tangana,7r_wlaXc6LY,C. Tangana - De Pie (Audio),3 years ago,4947560.0,2:53,173.0,C. Tangana,619,,100.0
1410,Bien Duro,C. Tangana,YMNL8m0uDKM,C. Tangana - Bien Duro (Video Oficial),3 years ago,21969762.0,3:18,198.0,C. Tangana,2161,Rap/Hip Hop;Pop;Latin Pop;Latin Music,101.0
1421,Demasiadas Mujeres,C. Tangana,ZlFri4ez_lE,C. Tangana - Demasiadas Mujeres (Video Oficial),9 months ago,25318870.0,2:48,168.0,C. Tangana,2060,Rap/Hip Hop,126.0
1422,Yelo,C. Tangana;Alizzz,2BlYXAlRF7I,C. Tangana - Yelo (Video Oficial),1 year ago,7828690.0,3:25,205.0,C. Tangana,1921,Rap/Hip Hop;Latin Music,135.0
1450,Viene y Va,C. Tangana;Natti Natasha,o_eyBJy9w5E,"C. Tangana, Natti Natasha - Viene y Va (Video Oficial)",1 year ago,19135506.0,3:27,207.0,C. Tangana,1899,Rap/Hip Hop;Latin Music,99.0
1454,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),C. Tangana;Niño de Elche;La Hungara,ltmO9XQVdSg,"C. Tangana, Niño de Elche, La Hungara - Tú Me Dejaste De Querer",8 months ago,127618632.0,3:18,198.0,C. Tangana,999,Rap/Hip Hop,84.0
1476,Small Boy,C.P;ShockTown,Y4i82AHk80k,CP x Shocktown - Small Boy (Music Video) | @MixtapeMadness,1 year ago,40867.0,3:37,217.0,Mixtape Madness,38,Rap/Hip Hop,100.0
1490,"Up Inna (Beam, Cham & Alicai Harley Remix)",Cadenza;M.I.A.;GuiltyBeatz;Beam;Cham;Alicaì Harley,mrTrQBN9R2E,"Cadenza - Cadenza x M.I.A x GuiltyBeatz - Up Inna (BEAM, Cham & Alicai Harley Remix)",11 months ago,9110.0,3:47,227.0,CadenzaVEVO,10,Electro;Dance,123.0
1491,Summer (Mike Stud Cover),Calvin Harris,gtZnpYFRPsY,Calvin Harris - Summer (Mike Stud Remix) [No Copyright Music],4 years ago,340162.0,2:46,166.0,YouTubers Music,76,Other,130.0
1508,Kelegbe,Candy Bleakz,Mq_JEcVOBAY,Candy Bleakz - Kelegbe (Official Video),1 year ago,373406.0,3:03,183.0,Candy Bleakz,132,African Music,122.0
1520,I Like It,Cardi B;Bad Bunny;J Balvin,xTlNMmZKwpA,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",3 years ago,1376747539.0,4:17,257.0,Cardi B,369,Rap/Hip Hop,136.0
1540,Can't Do Without You,Caribou,BI2Et19vDCM,CARIBOU - Can't Do Without You,7 years ago,11528172.0,3:57,237.0,CaribouVideos,732,,128.0
1553,With Me (Infuze Remix),Cashmere Cat,v2YvrzR2ZQI,Cashmere Cat - With Me (Infuze Remix),7 years ago,326347.0,3:56,236.0,AirwaveMusicTV,69,Sex,140.0
1560,Adore feat Ariana Grande (MssingNo Remix),Cashmere Cat,D74zYdbPN9Y,Cashmere Cat - Adore Feat Ariana Grande (MssingNo Remix),6 years ago,70601.0,4:11,251.0,Unconventional Reality,13,,140.0
1644,Twist and Shout,Chaka Demus & Pliers,x90NoBIW87Q,Chaka Demus & Pliers - Twist and Shout Feat. Jack Radics,14 years ago,6238376.0,3:55,235.0,classicsonline,128,Reggae,128.0
1645,Lighter VIP,Champion,dB4MovYcQTE,Champion - Lighter VIP,9 years ago,89507.0,4:34,274.0,Geebo Geebo,31,Funky,130.0
1649,Vroom Vroom,Charli XCX,qfAqtFuGjWM,Charli XCX - Vroom Vroom [Official Video],5 years ago,13952139.0,3:23,203.0,Vroom Vroom Recordings,1819,Electronic / Pop / Hip-Hop,151.0
1692,Glow,Chiefs & CRNKN ,E7Ha_ty7rjs,Chiefs & CRNKN - Glow,6 years ago,224745.0,3:32,212.0,SuicideSheeep,45,,75.0
1759,Centiped,Childish Gambino,3ekR3wYoIEU,Childish Gambino - Centipede - Lyrics,6 years ago,311408.0,5:59,359.0,FG,57,,90.0
1771,This Is America (Dirty),Childish Gambino,VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),3 years ago,787552154.0,4:05,245.0,Donald Glover,69,,120.0
1810,Pills & Automobiles,"Chris Brown Ft. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black",GTexe8c0eqw,Pills & Automobiles (Official Video),3 years ago,316993303.0,4:53,293.0,Chris Brown,837,,72.5
1824,Kumbaza,Chuckie,JrM0hqKjT4E,Chuckie - Kumbaza [DDM104],3 years ago,59964.0,2:39,159.0,dirtydutchtv,12,,128.0
1835,Level Up,Ciara,Dh-ULbQmmF8,Ciara - Level Up,3 years ago,304161696.0,3:32,212.0,Ciara,989,,153.0
1850,No Eyes Feat. Jaw (Original Mix) ,Claptone,CXyVMvlS1NU,Claptone - No Eyes (feat. Jaw),6 years ago,54555389.0,6:59,419.0,CLAPTONE,1056,,120.0
1886,Evening Ever,Clu,uJ_yIxG5Hbs,Clu - Evening Ever,9 years ago,83119.0,5:31,331.0,Eton Messy,49,Presex,139.95
1906,Be Yourself,Codec,6Fii-a9OoRI,Codec - Be Yourself,8 years ago,55714.0,5:26,326.0,SubSoul,34,Bass,126.0
1918,Turning (Flume Remix),Collarbones,tjdvjcz9ssE,Collarbones - Turning (Flume Remix),6 years ago,4195954.0,5:35,335.0,Flume,808,Electronic/Future Pop,116.0
1948,Let Go (VIP),Conducta,vQQyOJJGNNg,Conducta - Let Go (VIP),6 years ago,28132.0,5:01,301.0,Bassness Music,12,,136.01
1966,Steezing (feat. Coco & J'Danna),Conducta;Coco;J'Danna,nkyA5I__yHY,Conducta - Steezing (Ft. Coco & J'Danna),2 years ago,111028.0,2:48,168.0,DEEPROT,164,Alternative;Indie Rock;Dance,138.0
2000,"Wanna Go (feat. Mina Rose, Coco & Big Zuu)",Conducta;Mina Rose;Coco;Big Zuu,ZdBN442fQHk,"Conducta ft. Coco, Big Zuu & Mina Rose - Wanna Go [Music Video] | GRM Daily",3 years ago,24301.0,2:45,165.0,GRM Daily,34,Alternative;Indie Rock;Dance,136.0
2076,María,Coral Casino,zNGhf09qFDc,Coral Casino - María (Video Oficial),3 years ago,168918.0,3:00,180.0,Finesse Records,51,Alternative;Latin Music,129.99
2101,Live In The Moment,Craig David ft. GoldLink,osJkdwQypbk,Craig David - Live in the Moment (Audio) ft. GoldLink,3 years ago,437912.0,3:07,187.0,Craig David,219,,103.01
2135,TLC,Cruz Cafuné;Maikel Delacalle,990LewlCGpc,CRUZ CAFUNÉ - TLC (ft. MAIKEL DELACALLE) [CLIP],6 months ago,803113.0,3:27,207.0,Cruz Cafuné,399,Rap/Hip Hop;R&B,115.0
2175,Perfect Form,Cyril Hahn feat. Shy Girls ,4EyZJXGVRO0,Cyril Hahn - Perfect Form (feat. Shy Girls),8 years ago,1649814.0,4:54,294.0,Majestic Casual,396,,123.0
2202,Better,Dallas Hill,DxPFvNEd6fA,"Dallas Hill - ""Better""",4 years ago,72893.0,3:18,198.0,Dallas Hill,31,Hip-Hop/Rap,95.0
2224,Get You (feat. Kali Uchis),Daniel Caesar,uQFVqltOXRg,Daniel Caesar - Get You ft. Kali Uchis [Official Video],4 years ago,190650565.0,4:31,271.0,Daniel Caesar,423,R&B/Soul,148.0
2263,Lil Bebe,DaniLeigh,qOQEcbL6NR4,DaniLeigh - Lil Bebe (Official Video),2 years ago,93273410.0,2:55,175.0,iamDaniLeigh,1829,Rap/Hip Hop,136.0
2274,All I Know,DaniLeigh ft. Kes,arBGsVzhfB8,DaniLeigh - All I Know ft. Kes (Official Video),3 years ago,4776075.0,2:49,169.0,iamDaniLeigh,1220,,95.0
2289,Broken Flowers,Danny L Harle,OwpP6gNiIWE,Danny L Harle - Broken Flowers,5 years ago,1988474.0,3:23,203.0,Danny L Harle,508,,122.0
2307,Awake for Hours,Danny L Harle,IIKVF-HnQ6A,Danny L Harle - Awake for Hours (Official Audio),5 years ago,80568.0,3:33,213.0,Danny L Harle,54,,93.23
2334,Alicia,Darius & Crayon,D0UCC7Esd4Y,Darius & Crayon - Alicia,8 years ago,2854973.0,4:30,270.0,Majestic Casual,399,,112.0
2359,Ends,Darrein Safron,LqYmFuyUl_Y,Darrein Safron - Ends - OFFICIAL MUSIC VIDEO,3 years ago,74616.0,2:53,173.0,Strange Music Inc,190,R&B/Soul,82.0
2377,All Your Goodies Are Gone feat. Mayer Hawthorne (Shigeto remix),Dennis Coffey,Bf13scwJuCA,Dennis Coffey - All Your Goodies Are Gone (feat. Mayer Hawthorne) (Shigeto Remix),7 years ago,440981.0,3:44,224.0,Majestic Casual,77,Electronic Soul,109.5
2403,Up (Audio),Desiigner ,WcMEHnPJ6eU,Desiigner - Up (Audio),4 years ago,8855812.0,3:56,236.0,Desiigner LOD,1944,,72.0
2418,You & Me (feat. Eliza Doolittle) (Flume Remix),Disclosure,8x-M7AkTvrQ,Disclosure - You & Me (Flume Remix) [Official Video],7 years ago,53468624.0,4:38,278.0,Flume,2213,,150.0
2453,Disclosure - Tenderly (Melé Remix),Disclosure,nUFFMXlCD7Q,Disclosure - Tenderly (Melé Remix),9 years ago,87480.0,4:22,262.0,SubSoul,17,,148.0
2492,Holding On (feat. Gregory Porter),Disclosure,gVN6FqPpChQ,Disclosure - Holding On (Official Audio) ft. Gregory Porter,6 years ago,16452901.0,5:13,313.0,Disclosure,1251,Электронная музыка,124.0
2571,GhanaBoyz Challenge (SOMJI Edition) [feat. Manlikestunna],DJ Flex,5T3DFKUmHHU,DJ Flex - GhanaBoyz Challenge Feat. ManLikeStunna & Asante Jr (SOMJI Edition),3 years ago,339545.0,1:58,118.0,DJ Flex,34,Músicas del mundo,138.0
2600,Good Comfort,DJ Frass;Shenseea,WziVs0x7VoI,Shenseea x DJ Frass - Good Comfort (Official Audio),1 year ago,1560740.0,2:15,135.0,Shenseea,802,Reggae,100.0
2623,"Olhei, gostei (feat. Ludmilla)",DJ Lindão;Ludmilla,Q3tNBHKH0l0,LUDMILLA E DJ LINDÃO - OLHEI GOSTEI ( Audio Oficial ),1 year ago,2962298.0,2:36,156.0,DJ LINDÃO OFICIAL,232,Brazilian Music;Soul & Funk,150.0
2636,Be Mine (feat Kai Ryder),DJ Q,C20mraLPCZY,DJ Q feat. Kai Ryder - Be Mine,7 years ago,73982.0,5:10,310.0,DEEPROT,12,Bass,132.0
2658,Fuck It up Challenge,DJ Telly Tellz,ul_Z7GE1O4A,DJ TELLY TELLZ   FUCK IT UP CHALLENGE,4 years ago,6347377.0,1:36,96.0,Woudell Jn.baptiste,569,Dance,155.21
2660,Mafa Mafa,DMW;DaVido;The Flowolf;Peruzzi;Dremo,oBq3DysPtdY,"DMW - Mafa Mafa feat. Davido, The Flowolf, Peruzzi & Dremo (Official Video)",1 year ago,1041181.0,2:47,167.0,DMW HQ,531,Pop,121.0
2674,Juicy - by Museekal,Doja Cat,YIALlhlyqO4,"Doja Cat, Tyga - Juicy (Official Video)",1 year ago,230618980.0,3:19,199.0,Doja Cat,597,,85.0
2689,Contando Lunares (feat. Cruz Cafuné),Don Patricio;Cruz Cafuné,IWELYcYYhWc,"DON PATRICIO, CRUZ CAFUNÉ - CONTANDO LUNARES",2 years ago,152592468.0,3:40,220.0,Don Patricio,1514,Rap/Hip Hop;Latin Music,106.0
2707,Bandoe (Dirty),Donae'o ft. Don E,stBRqwLn7dU,Don E - Bandoe (Produced by Donaeo) | Link Up TV,3 years ago,381331.0,3:13,193.0,Link Up TV,121,,128.0
2718,Polo (Dirty),DonaeO,SqzCMjEBNPA,Donae'o - Polo (Music Video) | @donaeo | Link Up TV,4 years ago,283048.0,4:32,272.0,Link Up TV,109,Funky,128.0
2747,My Circle Remix (Dirty),"Donaeo ft. Cadet, Wiley, & Ghetts",j-Sc8mKL8Og,Donae'o - My Circle (RMX) Feat. Cadet & Ghetts | @donaeo | Link Up TV,5 years ago,288079.0,4:03,243.0,Link Up TV,100,,128.0
2753,I Feel Love [Original 12'],Donna Summer,B2qI6UDD2uQ,"Donna Summer  I Feel Love Original  8 minute 12"" version 1977",8 years ago,3777996.0,8:16,496.0,georgie gogo,1533,,128.23
2760,Cartier (feat. Chivv & 3robi),Dopebwoy,KSWRu9b_1-4,Dopebwoy - Cartier ft. Chivv & 3robi,4 years ago,111024500.0,4:12,252.0,Avalon Music,832,Hip-Hop/Rap,127.0
2813,Santo Domingo,Dopebwoy;Yxng Bane,JTkUTZDT62Q,Dopebwoy - Santo Domingo ft. Yxng Bane (prod. SRNO),2 years ago,7203784.0,2:45,165.0,Avalon Music,395,Rap/Hip Hop,98.0
2838,Barbie Boy (feat. Sega Bodega),Dorian Electra;Sega Bodega,opGVx_woHnQ,Dorian Electra - Barbie Boy (feat. Sega Bodega) [Official Audio],9 months ago,100590.0,2:50,170.0,DORIAN ELECTRA,117,Pop,82.96
2846,Marimba Rija,Dotorado Pro,EtA_0rvRgAM,Dotorado Pro - Marimba Rija,5 years ago,497656.0,3:01,181.0,ENCHUFADA,42,Electronic,130.0
