,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm
3330,Patek Water (feat. Offset),Future & Young Thug,tT5TDmiAY78,Future & Young Thug - Patek Water Feat  Offset [Official Audio],3 years ago,7349632.0,3:10,190.0,Young Thug,1074,Hip-Hop/Rap,76.5
3351,We On,Gavlyn & DJ Hoppa,UrTZ-ULZ6dY,Gavlyn & DJ Hoppa - We On (Music Video),4 years ago,7243137.0,3:12,192.0,Broken Complex,1930,Hip-Hop/Rap,90.0
3383,You,Gidge,4DYeCB5ItEE,Gidge - You,6 years ago,220207.0,8:06,486.0,Atomnation,27,,123.0
3408,Choreograph,Gilligan Moss,NQ8xD6FVic8,Gilligan Moss - Choreograph,6 years ago,225734.0,5:46,346.0,Gilligan Moss YT,108,Dance,112.0
3419,Llama,Girl Ultra,LSwOgHqV5oY,Girl Ultra - Llama,3 years ago,973092.0,3:22,202.0,Finesse Records,195,Alternative;Latin Music,75.0
3444,Abril,Girl Ultra,v2ccwbQivIU,Girl Ultra - Abril,3 years ago,164188.0,3:53,233.0,Finesse Records,56,Alternative;Latin Music,120.0
3454,Adiós,Girl Ultra,L5aIOo56Lwk,Girl Ultra - Adiós,3 years ago,15783.0,1:31,91.0,Finesse Records,11,Alternative;Latin Music,130.0
3455,Lejos,Girl Ultra;Coco Santos,NSL2Q7AERE8,Girl Ultra - Lejos ft. Coco Santos (CLUBZ),3 years ago,147821.0,2:47,167.0,Finesse Records,35,Alternative;Latin Music,98.0
3465,5th Ave,Gold Panda,cRLreGvjC4c,Gold Panda - 5th Ave,10 years ago,566180.0,5:34,334.0,sittingonthebeach,196,,87.97
3492,"Crew ft. Brent Faiyaz, Shy Glizzy",GoldLink ,nhNqbe6QENY,"GoldLink - Crew ft. Brent Faiyaz, Shy Glizzy",4 years ago,143116850.0,3:21,201.0,GoldLink,659,,130.0
3493,PRESSURE,Goon des Garcons,FUi3NXtmSGI,Goon des Garcons - PRESSURE (Audio),1 year ago,56283.0,2:30,150.0,GoonDesGarconsVEVO,54,Rap/Hip Hop,136.0
3513,Crocodile Tears,GRADES,otCvwU5pmwY,GRADES - Crocodile Tears (Official Audio),6 years ago,879111.0,2:48,168.0,GRADES,146,,126.0
3523,Cash Train (feat. Not3s & Blade Brown),GRM Daily;Not3s;BLADE BROWN,AxQezC6YvYs,Not3s x Blade Brown - Cash Train [Music Video] | #GRM10,1 year ago,3420940.0,3:11,191.0,GRM Daily,561,Rap/Hip Hop,98.0
3534,Little Bit of This (feat. Vince Staples) (Original Mix),"GTA, Vince Staples",qkxEKumTj08,GTA ft. Vince Staples - Little Bit of This,4 years ago,4909916.0,2:47,167.0,Good Times Ahead,1315,Hip-Hop,118.0
3580,Something About You,Hayden James,Hyi8Z4s2miw,Hayden James - Something About You,6 years ago,13901511.0,3:44,224.0,TheSoundYouNeed,838,Electronic,115.0
3603,"Never Goin' Broke (Feat. Iamsu!, P-Lo, Kool John, Jay Ant",HBK Gang ,ZFqw6zxd7J8,"HBK Gang - Never Goin' Broke (Feat. Iamsu!, P-Lo, Kool John, Jay Ant & Skipper) (Feat. Kehlani) [Pro",7 years ago,2959837.0,3:31,211.0,Thizzler On The Roof,274,,98.0
3621,Ukiyo,Hermitude,COgu9XHPKSc,Hermitude - Ukiyo (Official Music Video),5 years ago,715219.0,4:04,244.0,Hermitude,193,,180.0
3634,Addio Mare (feat. Astroboi),Highkili;Astroboi,WV4G9eWTAeA,ADDIO MARE - HIGHKILI,7 months ago,8624.0,3:12,192.0,HIGHKILI Hi-Ki,13,Reggaeton,96.0
3636,We Do it ,Hnqo ,Xl9MVk0LeWY,HNQO feat. BR - We Do It (Original Mix),9 years ago,1142842.0,7:04,424.0,TheIoLoSo3,138,,118.0
3655,Lambada,Hr. Troels;Manos,OUHZXNlguz4,Hr. Troels - Lambada (Lyrics) ft. Manos,1 year ago,2769158.0,3:06,186.0,The Vibe Guide,124,Dance;Pop,126.0
3682,Cashmere,Hucci,P06l7Huv6uE,Hucci - Cashmere,8 years ago,346995.0,4:21,261.0,AllTrapMusic,173,Presex,119.97
3695,Very First Breath (feat. Irfane),Hudson Mohawke,z_kLmNPlolY,Hudson Mohawke - Very First Breath (Official Video) ft. Irfane,6 years ago,527480.0,3:24,204.0,Hudson Mohawke,71,,140.0
3696,Passports (feat. Remy Banks),Hudson Mohawke,a1kuYYhtJPw,"""Passports"" - Hudson Mohawke feat. Remy Banks (Silicon Valley: The Soundtrack) [HQ Audio]",4 years ago,202737.0,2:22,142.0,Mass Appeal Records,28,"Warp, Master, Publishing, Vocal Male",132.0
3707,Foxy Boxing,Hudson Mohawke,oqGD-QOvz-o,Hudson Mohawke - Foxy Boxing,3 years ago,7764.0,4:08,248.0,LuckyMe Records,13,"LuckyMe, Master, Instrumental",142.97
3708,Thunder Bay,Hudson Mohawke,my_Efk19OJw,Hudson Mohawke - Thunder Bay - 1080p,10 years ago,371577.0,3:23,203.0,Matthew Ellis,367,"Warp, One-stop, Instrumental, Vocal FX",135.98
3727,Maniac,Hyper Crush,wL3cRaPF2k8,Hyper Crush - Maniac,9 years ago,1680236.0,3:38,218.0,Hyper Crush,407,,128.0
3743,Shade (Dirty),IAMDDB,DWUUSDG8mVk,IAMDDB - Quarantine (Prod. Adrian),1 year ago,476446.0,2:57,177.0,MASSHENDRIX,256,,122.0
3755,G.A.F,IAMDDB,pphzA2mAEWo,IAMDDB - G.A.F,3 years ago,2518810.0,3:23,203.0,IAM DDB,376,Rap/Hip Hop;R&B,135.0
3799,Hipster Girls,Iamsu!,z8emZMYkkwk,"Iamsu! ""Hipster Girls"" [OFFICIAL VIDEO] Dir. Aris Jerome",7 years ago,970422.0,3:22,202.0,HBK Gang,167,Hip-Hop/Rap,129.0
3845,Cucumber,J Hus,4OOo_L-ShP8,J Hus - Cucumber (Official Audio),1 year ago,1583747.0,2:43,163.0,J Hus,129,Rap/Hip Hop,103.0
3855,Good Time - Satoru Club Edit (Dirty),J Hus ft. Burna Boy,hGL1JoC2IaQ,J Hus - Play Play (Official Audio) ft. Burna Boy,1 year ago,5128811.0,3:28,208.0,J Hus,353,,110.0
3882,Big Conspiracy,J Hus;iceè tgm,Fw-cPUzUoig,J Hus - Big Conspiracy (Official Audio) ft. iceè tgm,1 year ago,4724504.0,3:41,221.0,J Hus,384,Rap/Hip Hop,93.0
3883,Repeat,J Hus;Koffee,PSFN8bAIkmQ,J Hus - Repeat (Official Audio) ft. Koffee,1 year ago,4114604.0,2:35,155.0,J Hus,461,Rap/Hip Hop,92.0
3903,Afterglow (Original Mix),Jacques Greene,VgWFKGBqqV8,Jacques Greene - Afterglow,4 years ago,37440.0,3:54,234.0,Jacques Greene,11,Electronica / Downtempo,137.99
3904,You Can't Deny,Jacques Greene,CEnMRajT05M,Jacques Greene - You Can't Deny,4 years ago,64030.0,3:51,231.0,Jacques Greene,29,Electrónica,125.99
3925,Wasteman,Jada Kingdom;Stalk Ashley,dRBMY4WCfj8,"Jada Kingdom, Stalk Ashley - Wasteman (Official Audio)",2 years ago,2338838.0,3:30,210.0,Jada Kingdom,704,Reggae,90.0
3957,Track 16,Jai Paul,uDfPC1FQVl0,Lyric Video- BTSTU by Jai Paul,3 years ago,26267.0,3:25,205.0,•Lyrically Unstable•,21,,89.99
3975,Girl,Jamie xx,r7gmVWgEpRc,Jamie xx - Girl,7 years ago,12603563.0,4:03,243.0,Jamie xx,808,Electrónica,101.64
3985,Hold Tight,Jamie xx,xWEYPo2JQws,Jamie xx - Hold Tight,6 years ago,316000.0,4:06,246.0,Clapham Junction,45,Electrónica,125.5
3986,I Know There's Gonna Be (Good Times) [feat. Young Thug & Popcaan],Jamie xx,BjLBB-TMa84,"Jamie xx - I Know There's Gonna Be (Good Times) ft. Young Thug, Popcaan",5 years ago,19546549.0,3:31,211.0,Jamie xx,1898,Electronic,89.5
4007,Obvs,Jamie xx,RIwnkTlLQUY,Jamie xx - Obvs,6 years ago,933581.0,3:53,233.0,Clapham Junction,133,Electrónica,152.0
4008,SeeSaw (feat. Romy),Jamie xx,S-C-pOR6QP4,Jamie xx (feat. Romy) - SeeSaw,6 years ago,895647.0,4:31,271.0,Clapham Junction,117,Electrónica,125.0
4021,Stranger In a Room (feat. Oliver Sim),Jamie xx,pmx1YKHVB_s,Jamie xx (feat. Oliver Sim) - Stranger In A Room,6 years ago,434697.0,3:00,180.0,Clapham Junction,44,Electrónica,129.81
4023,The Rest Is Noise,Jamie xx,MCxpwylKFNE,Jamie xx - The Rest Is Noise,6 years ago,582805.0,5:01,301.0,Clapham Junction,65,Electrónica,125.0
4050,Fresh & Clean,Jaz Elise,eaZ6t2IKAmo,Jaz Elise- Fresh & Clean (Official Video),1 year ago,807651.0,3:13,193.0,Jaz Elise,514,Reggae;Dancehall/Ragga,101.0
4061,Insecure,Jazmine Sullivan & Bryson Tiller,xcC3UQl3V-U,Jazmine Sullivan X Bryson Tiller - Insecure (Official Video),3 years ago,77095248.0,3:53,233.0,Jazmine Sullivan,2041,Soundtrack,130.54
4069,Qui (YYIOY Remix),Jeremih,YH_dGe8BmzY,Jeremih | Oui (Traducida al español),3 years ago,741825.0,3:59,239.0,oldschool,106,,140.0
4176,Faux pa ,Joey Mccrilley,js6rkrF06iw,Joey Mccrilley - Faux Pa,8 years ago,193628.0,4:52,292.0,SubSoul,37,Nu House ,123.0
4192,Snooze,Johnny Yukon,Z59QbEW4_ec,Johnny Yukon - Snooze (Official Video),3 years ago,1207638.0,3:00,180.0,Johnny Yukon,436,R&B/Soul,155.0
4228,On My Mind,Jorja Smith & Preditah,PA5uuBCtZ5k,Jorja Smith X Preditah - On My Mind,3 years ago,48699829.0,3:10,190.0,Jorja Smith,2200,Electronic,153.98
4284,Be Honest (feat. Ms Banks) (Cadenza & AoD Remix),Jorja Smith;Ms Banks,4F_eE4kr9vk,Jorja Smith - Be Honest FT Ms Banks (Cadenza x AOD Remix),1 year ago,267039.0,3:30,210.0,Jorja Smith,151,R&B,98.0
4315,Banku Dade,Jowaa,TxX2qHbvSfE,Jowaa - Banku Dade,4 years ago,39993.0,3:37,217.0,ENCHUFADA,14,,126.0
4319,LLÁMAME,Juicy BAE,Q0hHgpKINHY,JUICY BAE - LLÁMAME (Prod. Paul Married & Red Cloud),1 year ago,61799.0,3:00,180.0,JUICY BAE,112,R&B,75.0
4384,Normal,Juls;Kojey Radical,sSMYwMESizI,Juls - Normal ft. Kojey Radical,2 years ago,352304.0,3:43,223.0,Juls baby,116,,130.0
4406,Take Back The Night (Pat Lok 'Day x Nite' Remix),Justin Timberlake,htUj_dSbdgU,Justin Timberlake - Take Back The Night (Pat Lok Day x Nite Remix),8 years ago,19571.0,5:48,348.0,mhtpk1989,10,Fun,114.47
4415,Love Sex Magic (Bodhi Remix),Justin Timberlake Feat. Ciara,1HUyW8_Egxs,Justin Timberlake - Love Sex Magic (feat. Ciara) (Bodhi Remix),8 years ago,964000.0,3:42,222.0,Majestic Casual,173,,125.0
4426,Tyrant (feat. Jorja Smith),Kali Uchis,KDUOLz9ZL2g,Kali Uchis - Tyrant ft. Jorja Smith,4 years ago,29879462.0,3:24,204.0,KALI UCHIS,2160,R&B/Soul,82.5
4504,I Love It (Dirty),Kanye West & Lil Pump ft. Adele Givens,cwQgjq0mCdE,Kanye West & Lil Pump - I Love It feat. Adele Givens [Official Music Video],2 years ago,595730813.0,2:11,131.0,Lil pump,1073,,104.0
4552,Tusa,Karol G;Nicki Minaj,tbneQDc2H3I,"KAROL G, Nicki Minaj - Tusa (Official Video)",1 year ago,1222734669.0,3:24,204.0,KAROL G,1397,Rap/Hip Hop;Latin Music,101.0
4625,Til The Morning (SNAKEHIPS REMIX),Kehlani,McfelHN2TvI,Kehlani - Til The Morning (Snakehips Remix),6 years ago,1490492.0,3:18,198.0,Majestic Casual,155,,130.0
4643,CRZY ,Kehlani ,2d7U4CX0PHk,Kehlani - CRZY (Official Video),4 years ago,42971374.0,3:19,199.0,Kehlani,2294,,130.0
4692,Momo (Mobile Money),Kelvyn Boy;Mugeez;DarkoVibes,kVP2rG3k8ic,Kelvynboy - MOMO feat. DarkoVibes & Mugeez (Official Video),1 year ago,772515.0,4:15,255.0,Kelvyn Boy,524,,108.0
4703,DNA.,Kendrick Lamar,uX6uBHPGfSs,DNA - Kendrick Lamar (AUDIO),4 years ago,11810547.0,3:07,187.0,OH DYO,1084,Hip-Hop/Rap,130.0
4711,HUMBLE.,Kendrick Lamar,tvTRZJ-4EyI,Kendrick Lamar - HUMBLE.,4 years ago,796914447.0,3:04,184.0,Kendrick Lamar,800,Hip-Hop/Rap,150.0
4733,All The Stars (Dirty),Kendrick Lamar & SZA,GfCqMv--ncA,"Kendrick Lamar, SZA - All The Stars",3 years ago,43805852.0,3:57,237.0,Kendrick Lamar,1513,Other,96.8
4743,Turn Me On,Kevin Lyttle,GP3Exc5tCtc,Kevin Lyttle - Turn Me On (Official Video),11 years ago,58082147.0,3:16,196.0,Atlantic Records,2255,Reggae,106.25
4784,Day 'N' Nite,Kid Cudi,VrDfSZ_6f4U,Kid Cudi - Day 'N' Nite,11 years ago,170765320.0,3:08,188.0,Kid Cudi,363,,138.0
4804,Doin' My Thing (Featured In She's Out Of My League),King Juju,mu515xhUkT0,Doin' My Thing - King JuJu,10 years ago,152548.0,2:27,147.0,YourFreestyleMusic,54,Pop,98.0
4821,So Fine,Klaves,pa9r7CatTh8,Klaves - So Fine,8 years ago,1198028.0,5:15,315.0,Majestic Casual,435,,125.0
4831,Come On,Klaves,YGdl4W6IeI8,Klaves - Come On,6 years ago,54827.0,3:49,229.0,Eton Messy,10,,119.0
4845,Will You,Klaves,bQNnr8O_xow,Klaves - Will You,8 years ago,92212.0,5:04,304.0,Eton Messy,50,,124.0
4846,Mamacita,KM;Frenna;Jonna Fraser,NnxhgSrJtpY,KM - Mamacita ft. Frenna & Jonna Fraser (prod. Spanker),2 years ago,3427224.0,3:15,195.0,TopNotch,462,Rap/Hip Hop,130.0
4891,Dollar Sines,KRNE,PCx4qdvby94,KRNE - Dollar Sines,6 years ago,1504787.0,3:08,188.0,MrSuicideSheep,643,,75.0
4944,iSpy (feat. Lil Yachty),KYLE,5XK4v2fgMPU,KYLE - iSpy feat. Lil Yachty [Official Music Video],4 years ago,426783135.0,4:20,260.0,SuperDuperKyle,216,Hip-Hop,74.99
4978,Young Hearts Run Free,Kym Mazelle,IIbiG04X3ws,Romeo & Juliet (1996) – Kym Mazelle – Young Hearts Run Free,11 years ago,2900604.0,4:16,256.0,TheLadybumbum,254,Alternative;Indie Pop;Indie Rock;Pop;Indie Pop/Folk;Rock;Films/Games;Film Scores,119.99
4992,NA - Ecstacy (L-Vis Edit),L-Vis 1990,rjS_jQwdAwE,Dat Oven -- Icy Lake (L-Vis 1990 Dub),8 years ago,12913.0,3:06,186.0,Andrew F,12,,130.0
5005,Meisje,LA$$A;LouiVos;Geechi;Frsh,_1YIOYUfadY,LA$$A x LouiVos x Geechi x Frsh - Meisje,2 years ago,1422603.0,2:50,170.0,Life of Lassa,127,Rap/Hip Hop,108.0
5012,Queen's Speech Ep.3,Lady Leshurr,PVeT27F8CPY,Lady Leshurr - Queen's Speech Ep.3,6 years ago,17946800.0,3:32,212.0,Lady Leshurr,1981,,128.0
5029,Fly Away (Poolside Edit),Laid Back,arT-wFTvKqY,Laid Back - Fly Away (Poolside Edit) | HD,8 years ago,75200.0,8:17,497.0,The Groove Panda,16,Daytime Disco,102.0
5044,Picaflor,Lao Ra;C. Tangana,ZdqRDVqRexc,"Lao Ra, C. Tangana - Picaflor (Official Video)",1 year ago,7924059.0,3:17,197.0,Lao Ra,628,Rap/Hip Hop,98.0
5082,Been a Minute,Last Night In Paris,i4LmdZ5r76g,Last Night In Paris - Been A Minute (Official Video),4 years ago,930503.0,3:33,213.0,LastNightInParisVEVO,295,Dance,140.0
5111,Boing Boing,Lauwtje;Famke Louise;Poke,11Ci36RXqtw,Lauwtje - Boing Boing ft. Famke Louise & Poke (prod. Esko & Krankjoram),2 years ago,4343048.0,3:24,204.0,Van Klasse,1275,Rap/Hip Hop,100.0
5122,Rayon,Letherette,EdJKge5ESPo,Letherette - 'Rayon',5 years ago,51693.0,4:32,272.0,Ninja Tune,18,,124.0
5151,Where I Be,Liable,TYBafxOdM5s,Liable - Where I Be,7 years ago,95625.0,5:48,348.0,Eton Messy,26,Garage,125.0
5171,Faded (Rusty Hook Flip),Lido x ZHU,v80rkHUWe6A,Lido x ZHU - Faded (Rusty Hook Flip),6 years ago,69987.0,4:23,263.0,Vibe Life,18,Sex,130.0
5201,Wonder Woman (NVOY Remix),LION BABE,QxfCS-AnIsM,Lion Babe - Wonder Woman (NVOY Remix),6 years ago,112204.0,3:51,231.0,Eton Messy,26,,121.0
5215,Juice,Lizzo,XaCrQL_8eMY,Lizzo - Juice (Official Video),2 years ago,97921801.0,3:21,201.0,Lizzo Music,519,Pop,120.0
5244,Mujer Bruja,Lola Indigo;Mala Rodríguez,a-geL8Q3U18,"Lola Indigo, Mala Rodríguez - Mujer Bruja",2 years ago,31369136.0,3:23,203.0,Lola Indigo,2401,Pop;Latin Music,106.0
5279,Amigo,Lous and The Yakuza,PNGwThvjadY,Lous and The Yakuza - Amigo (Clip officiel),10 months ago,1546045.0,2:37,157.0,Lous and the Yakuza,603,Rap/Hip Hop,118.0
5310,Party Girls (Sinjin Hawke Remix),"Ludacris, Jeremih, Cashmere Cat, Wiz Khalifa",ar8gQztgGBs,Ludacris - Party Girls (Sinjin Hawke Remix),6 years ago,18330.0,4:45,285.0,Sinjin Hawke,14,,130.0
5367,Distrust ft. Denzel Curry,Lunice,nBJzRa9hupg,"LUNICE - Distrust (feat Denzel Curry, JK The Reaper & Nell)",4 years ago,54497.0,3:05,185.0,LUNICE,31,"LuckyMe, Master, Vocal Male",157.99
5398,Partout,Lunice,eWCeKTyP1so,Lunice - Partout,2 years ago,6033.0,2:33,153.0,LuckyMe Records,10,"LuckyMe, Master",128.0
5430,Isometrix (Original Mix),Machinedrum,iju16wR0sMI,Machinedrum - 'Isometrix',4 years ago,23777.0,3:14,194.0,Ninja Tune,10,Electronica / Downtempo,100.03
5440,Spectrum Sequence (Original Mix),Machinedrum,ju0TCWpeWww,Machinedrum - 'Spectrum Sequence',4 years ago,19968.0,2:17,137.0,Ninja Tune,25,Electronica / Downtempo,110.0
5442,Tell U feat. Rochelle Jordan (Original Mix),"Machinedrum, Rochelle Jordan",qEUG2kDW3I0,Machinedrum - 'Tell U (ft. Rochelle Jordan)',4 years ago,68947.0,3:21,201.0,Ninja Tune,71,Electronica / Downtempo,87.0
5467,Replay,Maikel Delacalle,4vhzwQGlb8Q,Maikel Delacalle - Replay,2 years ago,23655015.0,3:36,216.0,MAIKEL DELACALLE,1870,Pop;Latin Music,110.0
5480,My Love (feat. Drake),Majid Jordan,eqJ-Shv3kEw,Majid Jordan - My Love (feat. Drake) [Official Video],5 years ago,9628527.0,4:15,255.0,MAJID JORDAN,1405,Pop,119.0
5499,Lean On (Original Mix),Major Lazer feat. MO & DJ Snake,YqeW9_5kURI,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),6 years ago,3071444658.0,2:59,179.0,Major Lazer Official,431,Electronica,98.0
5516,Que Calor (feat. J Balvin & El Alfa),Major Lazer;J Balvin;El Alfa,ZBBS4imv1qo,"Major Lazer, J Balvin - Que Calor (Official Video) ft. El Alfa",1 year ago,134012808.0,2:56,176.0,Major Lazer Official,1005,Electro;Dance,126.0
5550,4AM,Manny Norté;6lack;Rema;Tion Wayne;Love Renaissance (LVRN),VVYp5qky--s,"Manny Norté, 6LACK, Rema, Tion Wayne - 4AM ft. Love Renaissance (LVRN)",1 year ago,4400289.0,3:45,225.0,6LACK,1001,R&B,105.0
5569,Man x Woman,Mar,SBoPEJmV2MQ,Full Crate x Mar - Man x Woman,7 years ago,517713.0,4:45,285.0,FullCratexMarVEVO,145,House/RnB,124.0
5581,Birthday Card,Marcus Marr & Chet Faker,OEEQwUjqa7U,Marcus Marr & Chet Faker - Birthday Card,5 years ago,1409265.0,7:47,467.0,Chet Faker,127,,123.0
5594,Ninia,Maria Sioke;Pedro LaDroga,z7NHB3Zdv4E,"MARIA SIOKE, Pedro Ladroga - NINIA",1 year ago,61468.0,3:23,203.0,MARIA SIOKE,142,Pop;Latin Music,94.0
5636,Todo Os Dias,MC Buzzz;King Doudou,yCgc29HuRoQ,MC Buzzz - Todo Os Dias,1 year ago,36174.0,2:47,167.0,MC BUZZZ,21,Rap/Hip Hop;Latin Music,130.0
5646,Bum Bum Tam Tam - AVI S Remix,MC Fioti,ZCdFGgW1rtM,MC Fioti - Bum Bum Tam Tam (AVI S Reflip),4 years ago,3969944.0,2:44,164.0,Xorks TV,425,,128.0
5674,In Fact,Melvitto;Gabzy,QFEjKe-xkYc,melvitto - In Fact (feat. Gabzy) (Official Audio),2 years ago,749084.0,3:46,226.0,melvitto,164,,89.98
5692,Thousand Words Ft Kaleem Taylor (Original Mix) Master,Memeb ,2A2bG2D05uQ,Memeb Ft. Kaleem Taylor - Thousand Words,6 years ago,78927.0,4:15,255.0,Eton Messy,17,,100.0
5713,Dime Cuantas Veces,Micro TDH;Rels B,wC7oIy5yEwM,Micro TDH ft. Rels B  - Dime Cuantas Veces (Official Video),2 years ago,40429609.0,3:40,220.0,Micro TDH,2394,Rap/Hip Hop;Latin Music,100.0
5723,Dime Cuantas Veces (Remix) [feat. Justin Quiles],Micro TDH;Rels B;Lenny Tavarez;Justin Quiles,c48y8nkeVFA,"Micro TDH - Dime Cuantas Veces (Remix) ft. Rels B, Lenny Tavarez, Justin Quiles (Official Video)",1 year ago,43651389.0,3:35,215.0,Micro TDH,2202,Rap/Hip Hop;Latin Music,100.0
5754,Bad and Boujee (feat. Lil Uzi Vert),Migos,S-sJp1FfG7Q,Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],4 years ago,1076843822.0,5:35,335.0,Migos ATL,615,Hip-Hop,127.0
5771,Sky Walker (Clean),Miguel ft. Travis Scott,76O3w4pt0CA,Miguel - Sky Walker (Official Video) ft. Travis Scott,3 years ago,192315007.0,3:29,209.0,Miguel,801,,73.0
5808,The Wave (Thomas Gold Remix),Miike Snow,KB5g02ezUKU,Miike Snow - The Wave (Thomas Gold Remix),8 years ago,106714.0,6:35,395.0,Axtone,40,,127.0
5832,Mikey B - One In A Million,Mikey B ,N_fKmxacdl8,Mikey B - One In A Million,5 years ago,48439.0,4:21,261.0,DEEPROT,54,UK Bass,134.0
5844,MOVE,Mila J ,xHUryef94QE,Mila J - MOVE,4 years ago,271803.0,2:48,168.0,Mila J,127,,138.0
5846,Sentah (feat. Bryte),"Mina, Bryte",laxIOHgjTVU,Mina - Sentah (feat. Bryte),4 years ago,131160.0,3:09,189.0,ENCHUFADA,16,,125.0
5918,I'm Better (feat. Lamb),Missy Elliott,TwyPsUd9LAk,Missy Elliott - I'm Better (feat. Lamb) [Official Music Video],4 years ago,39216984.0,3:40,220.0,Missy Elliott,2642,Hip-Hop/Rap,105.0
5954,Triscuits (Original mix)  ,Monitor 66,gaj7eG6Egpk,Monitor 66 - Triscuits (official),8 years ago,562169.0,5:47,347.0,thehouseofdisco,132,,108.0
5984,Shine Girl,Mostack;Stormzy,IXJd36Yxa-o,MoStack - Shine Girl (Official Video) ft. Stormzy,2 years ago,11336331.0,2:56,176.0,MoStack,1371,Rap/Hip Hop,104.0
5998,Tu Sicaria,Ms Nina;Beauty Brain,AqLAKlkRM30,♥  Ms Nina ♥   -   Tu Sicaria Prod  Beauty Brain,4 years ago,40756850.0,2:25,145.0,Ms Nina,2172,Rap/Hip Hop;Reggaeton;Reggae,98.0
5999,Brandy,MssingNo ,LUtJv8ll_BU,MssingNo - Brandy Flip,7 years ago,236091.0,4:51,291.0,Петр Бубликов,34,,130.0
6011,Firefly (feat Nao),MURA MASA,ThxaAo1QFSw,Mura Masa - Firefly (feat. Nao),6 years ago,24633349.0,3:49,229.0,Majestic Casual,1248,Bass,110.0
6012,Lovesick Fuck,MURA MASA,1LwHBw0EXe8,Mura Masa - Lovesick Fuck,6 years ago,6552983.0,3:17,197.0,Majestic Casual,799,Bass,89.0
6038,Miss You,Mura Masa ,90fRR8vHoM0,Mura Masa - Miss You,6 years ago,11126983.0,4:06,246.0,Majestic Casual,644,,87.97
6048,Move Me,Mura Masa & Octavian,Tbz6xQkewo4,Mura Masa - Move Me (Official Video) ft. Octavian,3 years ago,10795926.0,3:31,211.0,Mura Masa,1293,Electrónica,105.0
6057,Complicated,Mura Masa ft. Nao,NjOLYMGTRWw,"Mura Masa, NAO - Complicated",2 years ago,3681230.0,3:46,226.0,Mura Masa,1067,,100.0
6058,Trabajo,Murda,jn1ieqwc6z0,Murda - Trabajo (prod. Yung Felix),3 years ago,8100051.0,2:26,146.0,noahsarklabel,530,Rap/Hip Hop,108.0
6076,Together,Murlo;Conducta,8zshk50pCRA,Murlo & Conducta - Together,3 years ago,23453.0,4:30,270.0,BlueDollarBillz,12,Alternative;Indie Rock;Electro;Techno/House;Dance,136.0
6149,Paris (feat. Jordo),Nakala,BjXMIcYXkj8,Nakala - Paris ft. Jordo,5 years ago,527966.0,3:21,201.0,dynmk,58,R&B/Soul,128.0
6154,Business Woman,Nathy Peluso,4B614TAin4s,Nathy Peluso - BUSINESS WOMAN,1 year ago,13110161.0,3:57,237.0,Nathy Peluso,2078,Rap/Hip Hop;Pop;Latin Pop,83.0
6170,Natikillah,Nathy Peluso,Dua-Mh73Y2k,NATHY PELUSO - NATIKILLAH,2 years ago,13366766.0,3:22,202.0,Nathy Peluso,2079,Rap/Hip Hop,89.01
6196,Nicolas Jaar - And I Say (Xinobi Edit),Nicolas Jaar,kHlTgClAq6Q,Nicolas Jaar - And I Say (Xinobi Edit),8 years ago,9761424.0,6:20,380.0,The Vibe Minds,291,,115.0
6205,Just A Girl,No Doubt,PHzOOQfhPFg,No Doubt - Just A Girl,11 years ago,74113742.0,3:27,207.0,NoDoubtTV,1545,Pop,107.91
6218,U,Noah North,OPrFWay3n8Q,U - Noah North (Official Lyric Video),1 year ago,132305.0,2:21,141.0,Noah North,131,Pop,104.0
6244,You Are,NVOY,0wd9GytzM3g,NVOY - You Are,8 months ago,160625.0,3:51,231.0,Selected.,120,Dance,121.0
6263,Another Level,Olamide,MW3uw23g_-s,Olamide - Another Level (Audio),9 months ago,162331.0,2:57,177.0,Olamide Baddosneh,88,,100.0
6315,Dos Uno Nueve (219),Omar Apollo,EXd-lh_rf4w,Omar Apollo - Dos Uno Nueve (Official Lyric Video),10 months ago,100221.0,3:08,188.0,Omar Apollo,197,Alternative,100.28
6331,Frío,Omar Apollo,hjv2e5TdFLw,Omar Apollo - Frío (Official Lyric Video),1 year ago,448102.0,2:06,126.0,Omar Apollo,266,Latin Music,86.0
6351,Post To Be,Omarion ft. Chris Brown & Jhene Aiko,aPxVSCfoYnU,Omarion Ft. Chris Brown & Jhene Aiko - Post To Be (Official Music Video),6 years ago,784057967.0,3:47,227.0,Omarion,480,Abstract,97.5
6383,OSDHDTT (Original mix) ,Origins Sound,khpS04EZaxs,Origins Sound - OSDHDTT,8 years ago,86507.0,5:04,304.0,Eton Messy,59,,125.0
6427,Frontline,Pa Salieu,IaQjlagBnG0,Pa Salieu - Frontline (Music Video) | @MixtapeMadness,1 year ago,4470937.0,3:25,205.0,Mixtape Madness,1631,Rap/Hip Hop,97.5
6443,Stuck On You,Pedro/Bryte,_1kNoTq1FLI,PEDRO - Stuck On You (feat. Bryte) [LYRIC VIDEO],1 year ago,22561.0,2:51,171.0,ENCHUFADA,14,Electro;Dance;Disco,130.0
