name,artist
Replay,Maikel Delacalle
My Love (feat. Drake),Majid Jordan
Lean On (Original Mix),Major Lazer feat. MO & DJ Snake
Que Calor (feat. J Balvin & El Alfa),Major Lazer;J Balvin;El Alfa
4AM,Manny Norté;6lack;Rema;Tion Wayne;Love Renaissance (LVRN)
Man x Woman,Mar
Birthday Card,Marcus Marr & Chet Faker
Ninia,Maria Sioke;Pedro LaDroga
Todo Os Dias,MC Buzzz;King Doudou
Bum Bum Tam Tam - AVI S Remix,MC Fioti
In Fact,Melvitto;Gabzy
Thousand Words Ft Kaleem Taylor (Original Mix) Master,Memeb 
Dime Cuantas Veces,Micro TDH;Rels B
Dime Cuantas Veces (Remix) [feat. Justin Quiles],Micro TDH;Rels B;Lenny Tavarez;Justin Quiles
Bad and Boujee (feat. Lil Uzi Vert),Migos
Sky Walker (Clean),Miguel ft. Travis Scott
The Wave (Thomas Gold Remix),Miike Snow
Mikey B - One In A Million,Mikey B 
MOVE,Mila J 
Sentah (feat. Bryte),"Mina, Bryte"
I'm Better (feat. Lamb),Missy Elliott
Triscuits (Original mix)  ,Monitor 66
Shine Girl,Mostack;Stormzy
Tu Sicaria,Ms Nina;Beauty Brain
Brandy,MssingNo 
Firefly (feat Nao),MURA MASA
Lovesick Fuck,MURA MASA
Miss You,Mura Masa 
Move Me,Mura Masa & Octavian
Complicated,Mura Masa ft. Nao
Trabajo,Murda
Together,Murlo;Conducta
Paris (feat. Jordo),Nakala
Business Woman,Nathy Peluso
Natikillah,Nathy Peluso
Nicolas Jaar - And I Say (Xinobi Edit),Nicolas Jaar
Just A Girl,No Doubt
U,Noah North
You Are,NVOY
Another Level,Olamide
Dos Uno Nueve (219),Omar Apollo
Frío,Omar Apollo
Post To Be,Omarion ft. Chris Brown & Jhene Aiko
OSDHDTT (Original mix) ,Origins Sound
Frontline,Pa Salieu
Stuck On You,Pedro/Bryte
In another room - Pional,PionaL
Life in Grey,Point Point
Somateria,Polkadot
Kiss You Forever,Poolside
Do You Believe,Poolside
Coño,Puri;Jhorrmountain;Adje
Metelo,Puri;Kilate Tesla;Adje;Dopebwoy
Family Tree,Ramz
Rhythm 'N' Gash (Instrumental),Rebound X
Dumebi (S!RENE Edit),Rema
Woman,Rema
Lovenvy,Renz Young
Down The Line (It Takes A Number),Romare
Blijf Bij Mij,Ronnie Flex;Maan
A Palé,Rosalía
Con Altura,Rosalía;J Balvin;El Guincho
"Yo x Ti, Tu x Mi",Rosalía;Ozuna
Glass,Round
Breathe,Rubee Rayne 
Take Me,RUFUS
Rover (feat. DTG),S1mba;DTG
Sunshine Pulse (feat. SIROJ),Sam Tiba
Tap In,Saweetie
Gimme the Light,Sean Paul
Like Glue,Sean Paul 
Patsergedrag,Sevn Alias;Boef
Big Man,Sevn Alias;Mula B;Trobeats
Smart Aleck Kill (feat. Col3trane),SG Lewis
Dobale,Shaybo
Ya Dun Know,Shaybo
MAIN STREET ELECTRICAL PARADE,Shinichi Osawa
Bo Peep (Do U Right),Shlohmo ft. Jeremih
Bam Bam,Sister Nancy
Cause and Effect,Sivey
I Wish (Radio Edit),Skee-Lo
Where Are Ü Now (feat. Justin Bieber),Skrillex & Diplo
Best Friends (Y//2//K Remix),Sophia Grace
Lemonade,Sophie
Hard,Sophie
Elle,Sophie
JUST LIKE WE NEVER SAID GOODBYE,SOPHIE
L.O.V.E.,SOPHIE
VYZEE,SOPHIE
MSMSMSM,SOPHIE
BIPP,SOPHIE
III/IV,Star Slinger
Soco,Starboy;Wizkid;Ceeza Milli;Spotless;Terri
Time Off,starRo & Kyle Dion
Mami Dónde Estás?,Sticky M.a.;Juicy BAE;Jambo
Own It (feat. Ed Sheeran & Burna Boy),Stormzy;Ed Sheeran;Burna Boy
Stwo - Eden (oshi remix),Stwo
Thinking (Maths Time Joy Remix),Submotion Orchestra
Tú Me Haces Sentir,Swallow X;Nico Miseria
I Got U,Sweater Beats
All About Me,Syd
In My Arms,Synkro & Manos
Long Time No See (feat. Atu),Ta-ku
Trust Me,Ta-ku
Vegas (Joey Mccrilley Remix),TÂCHES 
Walking With Elephants (Original Mix) ,Ten Walls
Лев (Kolya Funk Radio Mix),Tenca
The Hills,The Weeknd
Can't Feel My Face,The Weeknd
The Morning (Atlantic Connection mix),The Weeknd
Them Changes,Thundercat
Cold Sweat,Tinashe
Top Winners (feat. Not3s),Tinie;Not3s
I'm On (Clean),Tion Wayne ft. Kojo Funds
Nothing (LO EDIT),TJPN & LO 
Higher Ground,TNGHT
Slowments,Touch Sensitive
Run,Tourist
goosebumps,Travis Scott
HIGHEST IN THE ROOM,Travis Scott
Mahabbah,Tropkillaz
So Am I,Ty Dolla $ign ft. Damian Marley & Skrillex
Faded (Explicit) ft. Lil Wayne,Tyga
SWISH (Dirty),Tyga
Taste - CHILDSPLAY Remix (Dirty),Tyga ft. Offset
BUK,Valsbezig
Clarks (feat. Popcaan & Gaza Slim),Vybz Kartel
Proper English,Vybz Kartel
Real Bad Gal,Vybz Kartel
Under Water,Vybz Kartel
My PYT [OFFICIAL MUSIC VIDEO],Wale 
Tur-Key Nla,Wande Coal
Marvin,Wayward 
Let U Know Ft. Zilo,Wilfred Giroux
Daddy Yo,Wizkid
No Stress,Wizkid
Essence (feat. Tems),Wizkid;Tems
Witching Hour,XXYYXX
Tik Tok (Y2K & ALIZZZ REMIX),Y2K & Alizzz
If You Leave,Yahtzel
New Bike,Yibril Rue;Mishii
We Back,Youan
4x4,Young T & Bugsey
Don't Rush,Young T & Bugsey;Headie One
OEFF,Yung Felix;Poke
Mr Lova,Yung Felix;Zefanio;Ir Sais
INSTANTES,Lauren nine
SURT DEL MEU CAP,Lauren nine
NAUGHTY WORLD ,Lauren nine
SOMEBODY,Lauren nine
ME VOY PAL CIELO,Lauren nine
DIME QUÉ QUIERES SABER,Lauren nine
MARINERO,Lauren nine
Heatbroken YYIOY Bootleg,
Desacato Escolar,"Leo RD, Tokischa & Yomel El Meloso"
Linda,Tokischa & ROSALÍA
Tukuntazo,"Tokischa, Haraka Kiko & El Cherry Scom"
1.KANYE X PHARELL X NUMMBER 1 LOCATION,
2.AALIYAH X MISS YOU RIDDIM,
03 Neon Peach (CHAMOS Edit),Snoh Aalegra
3.BEYONCE X J BALVIN X ALREADY UN BEBE,
4.DOJA CAT X STREETS RIDDIM,
07 What's Next (CHAMOS Edit),Drake
Do It To It,Acraze
Condo,Afro B
SAD GIRLZ LUV MONEY,amaarae
Sexual Healing,Architrackz
damn Right,Audrey Nuna
Flow 2000,Bad Gyal
Mudança,Barata
SAME HANDS (feat. Lil Durk),BIA
WHOLE LOTTA MONEY,BIA
ATM,Bree Runway
B. D’OR (feat. Wizkid),Burna Boy
Don Dada,Cakes Da Killa
Jacques a dit,Camro
Domme Invest,Chivv
Violin,Cookiee Kawaii
FASHIONOVA (feat. BKO & Défano Holwijn),DJ DYLVN
SO FINE (feat. Zefanio & Latifah),DJ DYLVN
Xigubu,Dj Ganyani
Siyagroova,DJ LAG
Vay,Dj Leska
Peru,Fireboy Dml
papi bones (feat. shygirl),FKA twigs
Afterparty,Frenna
Team Onbeskop,Getamilli
Kitten Heel,Isabella LoveStory
Good Vibes,Jay1
Moody!,Jean Deaux
Wicked,Juls
Koko,Karen Nyame KG
Sweet,Kwaku DMC
Duro 2005,La Goony Chonga
"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",La Pantera
Sugar Mami,La Zowi
Monalisa,Lojay
BOBO,Mariah Angeliq
Pelele,Morad
Zaranza,Nerú Americano
Feeling Good (Hyalyte Edit),Nina Simone
MCM,NSG
Hello Kitty,OH!DULCEARi
Plum,Omega Sapien
ZaZoo Zehh,Pocolee
Charlotte,Prince Kaybee
Tilín,Ptazeta
Palo,Puri
24/7,Rasskulz
Soundgasm,Rema
Velletjes (feat. Blow & Km),Rich2Gether
Birthday Cake,Rihanna
Doe Je Juist,Ronnie Flex
SAOKO,Rosalía
IR,Rubio
Damelo Papi,Shaqi
BDE (feat. Kaydy Cain),Shygirl
SLIME,Shygirl
Sabanaxua,Studio Bros
Overload,Sugababes
D O D O,Tayc
X,Tinashe
a woman is a god,Tommy Genesis
