,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm,subdir,subdir_idx
541,sugar mami,La Zowi,nCjdhfKCDbo,"La Zowi, Albany - Sugar Mami",1 year ago,9307910.0,3:09,189.0,La Zowi,1123,,98.0,additional_lisboa,61
542,monalisa,Lojay,to8nQNGarRw,LOJAY X SARZ - MONALISA,5 months ago,20847767.0,3:34,214.0,Lojay,2539,,113.0,additional_lisboa,63
544,bobo,Mariah Angeliq,34z8YXldqNk,"Mariah Angeliq, Bad Gyal, Maria Becerra - BOBO (Official Video)",8 months ago,18190555.0,3:50,230.0,Mariah Angeliq,2133,,92.0,additional_lisboa,65
545,pelele,Morad,pKx9-9pDQDw,MORAD - PELELE (VIDEO OFICIAL),2 months ago,28026022.0,3:49,229.0,M.D. L.R,3066,,145.0,additional_lisboa,66
546,zaranza,Nerú Americano,gl0YYvtPvbo,NERÚ AMERICANO - ZARANZA [2017] Official 4K,4 years ago,7283822.0,3:31,211.0,Grupo Chiado,646,,130.0,additional_lisboa,67
548,mcm,NSG,VXDzLJZDHjI,NSG - MCM (prod. Yung Felix) [Official Video],1 year ago,3004003.0,3:10,190.0,NSG,648,,100.0,additional_lisboa,69
549,hello kitty,OH!DULCEARi,aovHxmSxvYE,OH!DULCEARi x LESTON - HELLO KiTTY (Official Video),1 year ago,1064290.0,1:40,100.0,OH!DULCEARi,2035,,80.0,additional_lisboa,70
550,plum,Omega Sapien,DcNW-Z_riy0,Omega Sapien - Plum (feat. Sega Bodega),2 months ago,23969.0,2:40,160.0,LUCKYME®,39,,87.0,additional_lisboa,71
551,zazoo zehh,Pocolee,JLvMBtsJq5A,Zazoo Zehh !!! - Portable (Lyrics) ft. Pocolee & Olamide | Songish,2 months ago,277381.0,3:36,216.0,Songish,53,,132.0,additional_lisboa,72
552,charlotte,Prince Kaybee,oQJSqX0yIOE,Prince Kaybee Ft Lady Zamar - Charlotte (Official Video),5 years ago,10117289.0,4:15,255.0,Prince Kaybee,831,,122.0,additional_lisboa,73
553,tilin,Ptazeta,V0YO0JgUbjo,Ptazeta x Juacko - Tilín (Videoclip Oficial,1 month ago,628380.0,2:17,137.0,PtaZeta,885,,130.0,additional_lisboa,74
554,palo,Puri,TZT_MNf1qvs,Puri x KILATE TESLA x Kalibwoy - Palo (Official Music Video),3 years ago,2927175.0,2:53,173.0,Spinnin' Records,428,,95.0,additional_lisboa,75
555,24/7,Rasskulz,7s2BQqECEuw,"Rasskulz - 24/7 ft. BKO, Massief, BALLIN30 & Spens (prod. Saffehbeats)",2 years ago,1778961.0,2:38,158.0,RapNieuwsTV,375,,101.0,additional_lisboa,76
556,soundgasm,Rema,nrTkERuwdCc,Rema - Soundgasm (Official Music Video),9 months ago,34909829.0,3:39,219.0,Rema,3362,,100.0,additional_lisboa,77
560,saoko,Rosalía,6o7bCAZSxsg,ROSALÍA - SAOKO (Official Video),1 month ago,21360634.0,2:21,141.0,ROSALÍA,1961,,99.92,additional_lisboa,81
562,damelo papi,Shaqi,NZEfIsZy8XQ,SHAQI - Damelo Papi,3 years ago,136270.0,2:06,126.0,Xorks TV,24,,125.0,additional_lisboa,84
566,sabanaxua,Studio Bros,91QZ5G6oZSg,Studio Bros - Sabanaxua (Premiere),2 years ago,355209.0,4:18,258.0,Studio Bros,95,,125.0,additional_lisboa,89
