Name	Artist	Genre	AverageBpm	Comments
AWWZ - Moonshine Vol.4 copia	BB CRY		130.00	5A
Mad Gaal	BEAM	Hip-Hop/Rap	100.00	5A
Gritando V	Bearoid no		121.00	6A
Dejavoodoo (Geeneus Remix)	Beezy	Funky	128.00	6A
Blade (Tidal Wave Of Love) Demo	Ben Khan		123.00	9A
Touch ft. Ryn Weaver 	BenZel		142.01	8A
Fallin Love (Cashmere Cat Remix)	BenZel		140.00	9B
Semi Detached 1.1	BenZel vs. Cass Lowe vs. Chance The Rapper		77.05	8A
Drunk in Love (feat. Jay Z)	Beyoncé	Pop	140.00	
Baby Boy	Beyoncé;Sean Paul	Pop;R&B	91.14	
Vice City	Biig Piig	Hip-Hop/Rap	137.00	6A - Energy 3
Badman Ollo	Bizzey;Yung Felix;Josylvio;3robi	Rap/Hip Hop	108.00	6A
Ramen Noodles	Bizzy Crook	Rap/Hip Hop	79.00	10A
RITMO (Bad Boys For Life)	Black Eyed Peas;J Balvin	Pop	105.00	5A
Refresh	Blackbird Blackbird		144.00	2A
Confident // (Bnjmn Bootleg Mix)	BNJMN		134.00	6B
Really Love	Body Language	Pop	81.00	5B
Reset	Body Language	Pop	133.00	12A
Melba's Call (feat. Kelela)	Bok Bok	Bass	140.00	4A - Energy 6
Unlimited	Bok Bok & Sweyn Jupiter	Grime RnG	138.78	4B - Energy 6
Gold (Star Slinger Refix)	Bondax		125.00	8A
Baby i've got that Justin martins remix	Bondax		120.00	4A
Going Bad Riddim	Bonxo		90.00	11A
Static 	Bosstone	SOULECTION	130.00	6A
Millions de mélos	Bramsito;Soprano	Rap/Hip Hop	126.00	
Lucuma	Branko & Dengue Dengue Dengue	Electronic / Pop / Bass	130.00	7A
MPTS	Branko/Pedro	Electro;Dance;Disco	127.00	
MPTS (DKVPZ Remix)	Branko/Pedro	Electro;Dance;Disco	106.00	
Good Love (feat. Jay Prince)	Brasstracks	Electronic	97.00	11A - Energy 7
Fatherless (Doc Daneeka "MRR SNRZZ" Remix)	Breach	Funky	130.00	8A
Jack (Codes Remix)	Breaches		130.00	6A
Baby I'm Yours (featuring Irfane)	Breakbot	Electronic	117.98	
Finesse remix	Bruno Mars ft. Cardi B		105.00	4A
Je m'apelle Bryte (prod. Gafacci)	Bryte	Dance	128.00	1A
BSN Posse - Dolphin Eyes	BSN Posse	Presex	139.97	8A
Costa Del Sol	BSN Posse	Sex	80.06	9B
About U	BSN Posse	Electronic	160.00	8A - Energy 5
Batty Rider	Buju Banton	Reggae	97.58	10A
Love Dem Bad feat.Red Rat	Buju Banton	Reggae	94.24	4A
Anybody	Burna Boy		104.00	11A
Collateral Damage	Burna Boy		102.00	7A
Show & Tell (feat. Future)	Burna Boy;Future		100.00	10B
Gum Body (feat. Jorja Smith)	Burna Boy;Jorja Smith	Rap/Hip Hop	97.00	
This Side (feat. YG)	Burna Boy;YG		100.00	12A
Inside Out	C Y G N		120.00	7A - Energy 6
Antes de Morirme (feat. Rosalía)	C. Tangana	Pop	196.00	1A
De Pie	C. Tangana		100.00	7A
Llorando en la Limo (feat. Alizzz)	C. Tangana	Urbano latino	77.50	7A
Bien Duro	C. Tangana	Rap/Hip Hop;Pop;Latin Pop;Latin Music	101.00	6A
Demasiadas Mujeres	C. Tangana	Rap/Hip Hop	126.00	8A
Yelo	C. Tangana;Alizzz	Rap/Hip Hop;Latin Music	135.00	2A
Viene y Va	C. Tangana;Natti Natasha	Rap/Hip Hop;Latin Music	99.00	10A
Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)	C. Tangana;Niño de Elche;La Hungara	Rap/Hip Hop	84.00	9A
Small Boy	C.P;ShockTown	Rap/Hip Hop	100.00	5A
Up Inna (Beam, Cham & Alicai Harley Remix)	Cadenza;M.I.A.;GuiltyBeatz;Beam;Cham;Alicaì Harley	Electro;Dance	123.00	4A
Summer (Mike Stud Cover)	Calvin Harris	Other	130.00	4B
Nuh Ready Nuh Ready (Dirty)	Calvin Harris ft. PartyNextDoor		116.00	12A
Kelegbe	Candy Bleakz	African Music	122.00	
CAPSUN - 5000 (All For The Love)	CAPSUN	Future RnB	97.00	5A
I Like It	Cardi B;Bad Bunny;J Balvin	Rap/Hip Hop	136.00	4A
Please Me	Cardi B;Bruno Mars	Rap/Hip Hop	134.00	11A
Can't Do Without You	Caribou		128.00	8B
Want You To See	Carpainter		135.00	4B
With Me (Infuze Remix)	Cashmere Cat	Sex	140.00	4B
Adore feat Ariana Grande (MssingNo Remix)	Cashmere Cat		140.00	11A
Fuga Privada	Casio McCombs	Future	129.57	11A
Mpwekelela (feat. G'Spark & Caseiro)	Ced Koncept	Hip-Hop	127.00	8A
Murder She Wrote (Original Mix)	Chaka Demus & Pliers	Reggae	95.07	7A
Twist and Shout	Chaka Demus & Pliers	Reggae	128.00	11B
Lighter VIP	Champion	Funky	130.00	6B
Vroom Vroom	Charli XCX	Electronic / Pop / Hip-Hop	151.00	1B
Do It to It (Main Radio Version)	Cherish	Pop	148.00	6A
Tech Love (Otra Vez)	Chico Blanco	Electro;Dance	124.00	10A
Glow	Chiefs & CRNKN 		75.00	6A
Telegrach ave .	Childish Gambino	Presex	131.04	5A
telegraph ave. (Ta-ku Remix)	Childish Gambino		143.00	5A
3005	Childish Gambino		83.01	11A
Sober	Childish Gambino	Hip-Hop	98.00	8B
Centiped	Childish Gambino		90.00	7A - Energy 7
This Is America (Dirty)	Childish Gambino		120.00	7A/7B
Touch Me (Monkey Safari Remix) www.house-exclusive.com	Chocolate Puma & Bingo Players 		122.00	11B
Darle Cara (Lazy Flow Remix)	Chomba Boom feat Jamez Manuel		125.00	4A
Shut It Down	Choppa Dunks & Snappy Jit		128.00	8A
Cold Nights	Chordashian	Die Happy	125.00	12A
Pills & Automobiles	Chris Brown Ft. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black		72.50	6A
Kumbaza	Chuckie		128.00	7A
Level Up	Ciara		153.00	1A
What you do	Clancy 		120.00	11A
No Eyes Feat. Jaw (Original Mix) 	Claptone		120.00	6B
Always Yours (subdaio edit)	Clara La San		130.00	11A
Rather Be feat. Jess Glynne (L W K Y Remix)	Clean Bandit	ADM	82.00	1B
Treat You	Clientele		132.00	7A
Evening Ever	Clu	Presex	139.95	8A
Be Yourself	Codec	Bass	126.00	9B
Turning (Flume Remix)	Collarbones	Electronic/Future Pop	116.00	3A
City Breeze	Conducta	Electro	134.00	2A
Only U (Got Some Remix)	Conducta	Alternative;Indie Rock;Dance	125.00	4A
Sensation	Conducta	Dance	134.00	7A
Let Go (VIP)	Conducta		136.01	3A
Finally Found	Conducta x Jorja Smith		135.00	5A
Come & Go (feat. Alyss & Scrufizzer) (Remix)	Conducta;Alyss;Scrufizzer	Alternative;Indie Rock;Dance	140.00	7A
Steezing (feat. Coco & J'Danna)	Conducta;Coco;J'Danna	Alternative;Indie Rock;Dance	138.00	9A
Wanna Go (feat. Mina Rose, Coco & Big Zuu)	Conducta;Mina Rose;Coco;Big Zuu	Alternative;Indie Rock;Dance	136.00	11A
Gangsta'S Paradise 	Coolio		81.63	5A
Summer Romance	Coral Casino	R&B;Soul & Funk	96.00	11A/10A
María	Coral Casino	Alternative;Latin Music	129.99	9A
7 Days	Craig David	Pop	82.99	9A
Somebody Like Me (Intro)	Craig David ft. AJ Tracey		106.00	12A
Live In The Moment	Craig David ft. GoldLink		103.01	1A
Love Sex Sex	Cream Soda	Bass	107.00	10A
TLC	Cruz Cafuné;Maikel Delacalle	Rap/Hip Hop;R&B	115.00	9A
Tell Me	Cubeface		137.90	11A
Touch Ya	Cuerda		139.99	
