Name	Artist	Genre	AverageBpm	Comments
A Lover's Bounce	Jared Jackson	Electronic	105.00	7A - Energy 6
Essence	Jarreau Vandal		111.00	7A
Tip Toe - Mista Bibs Havana Edit (Dirty)	Jason Derulo ft. French Montana		105.00	7A
All You	Jay Prince		130.00	12B
I'll never let you go	JAYEEM 		131.00	10A
Fresh & Clean	Jaz Elise	Reggae;Dancehall/Ragga	101.00	5A
Insecure	Jazmine Sullivan & Bryson Tiller	Soundtrack	130.54	6A - Energy 3
Qui (YYIOY Remix)	Jeremih		140.00	2A
Fuck You All The Time (feat. Dav & Natasha Mosley) Remix	Jeremih (feat. Dav & Natasha Mosley)	Rnb/Hip-Hop/Rap	109.98	9A
Apaga la luz (Alizz remix) KB	Jesse Baez	Blues	140.03	4A
Apaga la luz (Alizz remix) KB	Jesse Baez	Blues	140.03	4A
It Means I Love You	Jessy Lanza		160.00	11A
Do the Road	Jevon	Hip-Hop/Rap	120.00	1A - Energy 7
Sativa - DJ Mike D Remix	Jhene Aiko ft. Rae Sremmurd		126.00	11A
Sativa (Dirty)	Jhene Aiko ft. Swae Lee		126.00	11A
Bang! Bang!	Joe Cuba Sextette	Latin Music	125.93	5A
Let Me Go	Joe Goddard x Kidnap Kid x Moko		135.00	10A
Faux pa 	Joey Mccrilley	Nu House 	123.00	11A
Snooze	Johnny Yukon	R&B/Soul	155.00	12A - Energy 5
4 Life	Jonna Fraser;Lil Kleine	Rap/Hip Hop	105.00	4A
On My Mind	Jorja Smith & Preditah	R&B/Soul	130.00	3A - Energy 6
Be Honest (feat. Burna Boy)	Jorja Smith;Burna Boy	R&B	98.00	
Be Honest (feat. Burna Boy)	Jorja Smith;Burna Boy	R&B	98.00	9A
Be Honest (feat. Burna Boy)	Jorja Smith;Burna Boy	R&B	98.00	9A
Be Honest (feat. Ms Banks) (Cadenza & AoD Remix)	Jorja Smith;Ms Banks	R&B	98.00	9A
Be Honest (feat. Ms Banks) (Cadenza & AoD Remix)	Jorja Smith;Ms Banks	R&B	98.00	9A
Bolsas de Ikea	Joseph x Sandro		132.00	7A
Banku Dade	Jowaa		126.00	7B
Driffttt	Juelz		123.00	5B
LLÁMAME	Juicy BAE	R&B	75.00	7A
Rhythm of Auld (feat. J'Danna)	Julio Bashmore	Electronic	121.01	8A
Knockin' Boots	Julio Bashmore	Electronic	127.01	11B
Rhythm of Auld (feat. J'Danna)	Julio Bashmore		121.01	8A
Normal	Juls;Kojey Radical		130.00	
Winner Walk (feat. XOriginals)	Jus Now;XOriginals	Electro	118.00	9A
07 - Chop Me Up (feat. Timbaland & Three 6 Mafia) (320  kbps) (YouTube 2 MP3 Converter)	Justin Timberlake		73.54	2A
Take Back The Night (Pat Lok 'Day x Nite' Remix)	Justin Timberlake	Fun	114.47	10B
Love Sex Magic (Bodhi Remix)	Justin Timberlake Feat. Ciara		125.00	4B
Yebo Pa (Main Mix)	Kabza De Small	Afro House	115.00	7A
Tyrant (feat. Jorja Smith)	Kali Uchis	R&B/Soul	82.50	2A
Otra Noche	Kamixlo	Electro	96.06	
Flow Of The Year feat. JME	Kano		139.97	2A
 INTRO - All Of The Lights (FS Green's Intro Mix)	Kanye West	Electronic	130.00	3A
I Love It (Dirty)	Kanye West & Lil Pump ft. Adele Givens		104.00	6A
Beat Down	Kaptain Cadillac	Booty Bass	128.00	7A
Tusa (Reggaeton Edit)	KAROL G, Nicki Minaj		101.00	10B
Tusa	Karol G;Nicki Minaj	Rap/Hip Hop;Latin Music	101.00	10B
Last Call	Kartell	Nu Disco / Indie Dance	130.00	6B
Show Out	Kaytranada		162.00	
Orquesta Akokán: Mambo Rapidito"	KCRW		129.31	12B
Til The Morning (SNAKEHIPS REMIX)	Kehlani		130.00	5A
CRZY 	Kehlani 		130.00	2A
Send Me Out (Obey City RMX)	Kelela	Other	120.00	2B
Momo (Mobile Money)	Kelvyn Boy;Mugeez;DarkoVibes		108.00	
DNA.	Kendrick Lamar	Hip-Hop/Rap	130.00	10A
HUMBLE.	Kendrick Lamar	Hip-Hop/Rap	150.00	3A
All The Stars (Dirty)	Kendrick Lamar & SZA	Other	96.80	5A
"Vibe Walk" (Break Science Remix)	Kendrick Lamar vs Tycho	Other	79.35	11B
Turn Me On	Kevin Lyttle	Reggae	106.25	12A
Gun Runners	KGreen		128.00	8A
Love Lies (Dirty)	Khalid & Normani		72.00	2B
Day 'N' Nite	Kid Cudi		138.00	10A
Vehl	Kidnap Kid	Dance	130.00	4A
You Know	Kilter	Hip Hop	98.00	11B
Doin' My Thing (Featured In She's Out Of My League)	King Juju	Pop	98.00	6B
Juno Salsa	King Most		107.00	
Damaia Remexe (feat. Pongo)	Kking Kong	Electronic	130.00	9A
So Fine	Klaves		125.00	9A
Come On	Klaves		119.00	2A
Closer	Klaves		135.00	2A
Will You	Klaves		124.00	3A
Mamacita	KM;Frenna;Jonna Fraser	Rap/Hip Hop	130.00	8A
Check - Nathan Dawe Remix (Dirty)	Kojo Funds ft. RAYE		102.00	2A
Der Alte	Kolsch		124.00	8B
DIMENSION DRIFT	KONTENT		134.99	7A
Dollar Sines	KRNE		75.00	3B
Air	KRPS		125.00	4A
Sound Of Da Police - Vinc Moombahton Edit	KRS-One		108.00	7A
Speechless (Karma Kid production)	KStewart		131.00	12A
Iskhathi (Gong Gong)	KWiiSH SA	Amapiano	114.00	8A
iSpy (feat. Lil Yachty)	KYLE	Hip-Hop	74.99	8B
Young Hearts Run Free	Kym Mazelle	Alternative;Indie Pop;Indie Rock;Pop;Indie Pop/Folk;Rock;Films/Games;Film Scores	119.99	7A
Plastician - Shallow Grave (L-Vis Edit)	L-Vis 1990		130.00	3A
NA - Ecstacy (L-Vis Edit)	L-Vis 1990		130.00	6A
Ascention	La Diabla		130.00	2A
Meisje	LA$$A;LouiVos;Geechi;Frsh	Rap/Hip Hop	108.00	12A
Queen's Speech Ep.3	Lady Leshurr		128.00	10B
Fly Away (Poolside Edit)	Laid Back	Daytime Disco	102.00	http://facebook.com/poolsidemusichttp://soundcloud.com/poolsidehttp://twitter.com/poolside
Ar15 (feat. Pucci Jr)	Lala &Ce;Pucci Jr	Rap/Hip Hop	85.00	5A
Ar15 (feat. Pucci Jr)	Lala &Ce;Pucci Jr	Rap/Hip Hop	85.00	5A
You'llneverbemine+tofallinloveitstrue thugecdit	Lancelot + Isaac Tichauer		124.16	11A
Body Bounce (Murder He Wrote Remix) Featuring Koshens	Lao Ra	Funky	124.00	12A
Picaflor	Lao Ra;C. Tangana	Rap/Hip Hop	98.00	9A
Y.O.U	Last Japan & Avrg Joe	Sex	140.00	8B
Been a Minute	Last Night In Paris	Dance	140.00	2A
That Thing (Golden Boy Bootleg) V2	Lauryn Hill		124.00	2A
Boing Boing	Lauwtje;Famke Louise;Poke	Rap/Hip Hop	100.00	5A
Para Abajo	Lechuga Zafiro;Matmos;Seba Tc	Electro	101.00	
Rayon	Letherette		124.00	7A
Don't Think About Me	Letherette		120.00	2B
Ride Mi Bike	Lexxicon	Reggae	95.00	6A
Where I Be	Liable	Garage	125.00	5A
Lemonade (Ca$h Bandicoot Edit)	Lido (Yung Lean X Lido) 	Presex	125.99	3B
Faded (Rusty Hook Flip)	Lido x ZHU	Sex	130.00	7A
Steel Intermission (Sylvere Remix)	Lil Crack		124.00	12A
XO TOUR Llif3 (Produced By TM88)	Lil Uzi Vert 		77.50	10A
Wonder Woman (NVOY Remix)	LION BABE		121.00	6B
Hot Body Woman [Edit]	Liquid Dust	Grapoe	96.00	8B
Juice	Lizzo	Pop	120.00	7A
Take It Back 	Logic		135.00	7A
Ya No Quiero Ná	Lola Indigo	Pop;Latin Music	128.99	7A
Mujer Bruja	Lola Indigo;Mala Rodríguez	Pop;Latin Music	106.00	2A
Y.L.S. (DJ Stepwise Favela Remix)	Los Rakas ft. MC João		130.00	5A
Amigo	Lous and The Yakuza	Rap/Hip Hop	118.00	4A
De Ti Me Olvido	Love Yi;Recycled J;Naes Beats	Rap/Hip Hop;Reggaeton;Reggae	106.00	2B
Party Girls (Sinjin Hawke Remix)	Ludacris, Jeremih, Cashmere Cat, Wiz Khalifa		130.00	6A
Verdinha	Ludmilla;Topo La Maskara;Walshy Fire	Brazilian Music;Soul & Funk	138.00	
OOOOO (Original Mix)	Luke West	Breaks	126.00	8A
Distrust ft. Denzel Curry	Lunice	LuckyMe, Master, Vocal Male	157.99	7A
Partout	Lunice	LuckyMe, Master	128.00	9A
Purp Walk	Lunice	Lucky Me, Master, Vocal FX	94.00	4A
S'mores	LUX LYNX & Big K 	JERSEY CLUB	136.00	8A
She Likes Me (feat. KC The Plug)	Lynchparty	Hip-Hop/Rap	140.00	7B
Dang! (feat. Anderson .Paak)	MAC MILLER	Hip-Hop	107.00	8B
On My Mind	Machinedrum	Electronic	153.98	7A
Isometrix (Original Mix)	Machinedrum	Electronica / Downtempo	100.03	10A
Spectrum Sequence (Original Mix)	Machinedrum	Electronica / Downtempo	110.00	6B
Tell U feat. Rochelle Jordan (Original Mix)	Machinedrum, Rochelle Jordan	Electronica / Downtempo	87.00	1B
White Crown feat. Tosin Abasi (Original Mix)	Machinedrum, Tosin Abasi	Electronica / Downtempo	156.00	10A
Weekend	Magic Flowers		121.00	
Replay	Maikel Delacalle	Pop;Latin Music	110.00	10A
My Love (feat. Drake)	Majid Jordan	Pop	119.00	7A
Lean On (Original Mix)	Major Lazer feat. MO & DJ Snake	Electronica	98.00	6A
Que Calor (feat. J Balvin & El Alfa)	Major Lazer;J Balvin;El Alfa	Electro;Dance	126.00	5A
Fire Water	Majora	Funky	127.00	10A
Armour King	Majora	Funky	128.00	11B
Rio Circus (Hagan Remix)	Majora	Funky	128.00	8A
Valbandon	Majora	Funky	128.00	9B
4AM	Manny Norté;6lack;Rema;Tion Wayne;Love Renaissance (LVRN)	R&B	105.00	
CEO	Mans o;B4mba;La Rana	Electro	134.00	
Man x Woman	Mar	House/RnB	124.00	5B
Birthday Card	Marcus Marr & Chet Faker		123.00	6A
Ninia	Maria Sioke;Pedro LaDroga	Pop;Latin Music	94.00	
Ninia	Maria Sioke;Pedro LaDroga	Pop;Latin Music	94.00	1A
All I Want (Original Mix)	Mark D FunKtion	Electronic	124.00	2B
Goldchains	Marlin	Presex	138.01	7A
Sexual Healing (ODahl rmx)	Marvin Gaye		110.00	5A
Time Wastin'	Masia One;XXXSSS Tokyo	Rap/Hip Hop	135.00	12A
Todo Os Dias	MC Buzzz;King Doudou	Rap/Hip Hop;Latin Music	130.00	6A
Bum Bum Tam Tam - AVI S Remix	MC Fioti		128.00	11A
El Tango de La Muerte	MEAPETECE		121.00	9A - Energy 5
Ambience	Melé	House	125.00	3B
Queens Day	Melé	House	125.00	7A
Body Thing	Melé	House	124.00	6A
Miss Me (Full Mix)	Meleka	Funky	127.00	5A
In Fact	Melvitto;Gabzy		89.98	6B
Don't stop me (Original Mix) Master	Memeb 	Blues	100.00	8A
Thousand Words Ft Kaleem Taylor (Original Mix) Master	Memeb 		100.00	8A
Wating for you Ft Jahkoy (Original Mix) Master	Memeb 		127.00	3A
Dime Cuantas Veces	Micro TDH;Rels B	Rap/Hip Hop;Latin Music	100.00	4B
Dime Cuantas Veces (Remix) [feat. Justin Quiles]	Micro TDH;Rels B;Lenny Tavarez;Justin Quiles	Rap/Hip Hop;Latin Music	100.00	4B
Bad and Boujee (feat. Lil Uzi Vert)	Migos	Hip-Hop	127.00	2A
Walk It Talk It - Tall Boys 90-73 Transition (Dirty)	Migos ft. Drake		72.98	7A
Girl With The Tattoo (Yarin Lidor Remix ft. Atari Jones)	Miguel		138.00	12A
How Many Drinks (Figgy Remix)	Miguel		103.00	2B
All I Want Is You (Blackbird Blackbird Bootleg)	Miguel	Juke	145.00	8A
Sky Walker (Clean)	Miguel ft. Travis Scott		73.00	2B - Energy 6
The Wave (Thomas Gold Remix)	Miike Snow		127.00	1A
Playin Too Much / Girls House (still not a player bootleg)	Mike Gao	Conceptual DJ shit	128.00	7A
The Show (Louis La Roche Remix)	Mike Mago		124.00	4A
Mikey B - One In A Million	Mikey B 	UK Bass	134.00	3A
MOVE	Mila J 		138.00	12A
05 Solo (ft Don Sinini)	MINA		105.00	5B
Sentah (feat. Bryte)	Mina, Bryte		125.00	7A
Boing (feat. Nane)	Mina, Nane		126.11	11A
Angles	Miraa May;JME	R&B	125.00	
Angles (Preditah Remix)	Miraa May;JME	R&B	130.03	
I'm Better (feat. Lamb)	Missy Elliott	Hip-Hop/Rap	105.00	5A
Cool Off	Missy Elliott	Rap/Hip Hop;R&B	139.00	
Get Your Immortal Freak On (DEBIT Bootleg)	Missy Elliott × Nindja	PIRTA	90.00	2A
ASESINO PSICÓTICO (MIJO Y MACAULAY "HAZME FAMOSA" MIX)	MODERNA Y THEUS MAGO 		119.00	6A
Triscuits (Original mix)  	Monitor 66		108.00	11B
This Is How We Do It (Viceroy "Jet Life" Remix)	Montell Jordan	Summertime, All The Time	106.00	4B
Astero  Flow	Montezuma		140.00	Visit https://sophisticateddelinquency.bandcamp.com
Truth (feat. Beau Nox)	Moods	Electronic	121.00	2A - Energy 4
Got Somebody (Free Magic Dub)	Moon Boots		118.00	11A
Body	Moon Bounce		120.00	6B
Let's Get it	MoonDoctoR x FreshtillDef		160.00	4B
Woah	Moonshine/Ahadadream	Electro	128.00	7A
Peter Pan	Moonshine/Banga/ANDY S	Electro	130.00	12A
are you stoopid (dumb) (Florentino Remix)	Moonshine/Nate Husser/Dapapa/Florentino	Electro	120.00	7A
Shine Girl	Mostack;Stormzy	Rap/Hip Hop	104.00	10A
Delay Is Sinful	Mr. Alexis		123.45	
Tu Sicaria	Ms Nina;Beauty Brain	Rap/Hip Hop;Reggaeton;Reggae	98.00	7A
Brandy	MssingNo 		130.00	
Firefly (feat Nao)	MURA MASA	Bass	110.00	7B
Lovesick Fuck	MURA MASA	Bass	89.00	2A
Love$ick (feat. A$AP Rocky)	Mura Masa		89.00	2A
Miss You	Mura Masa 		87.97	3A
Move Me	Mura Masa & Octavian	Electrónica	105.00	
Complicated	Mura Masa ft. Nao		100.00	
Trabajo	Murda	Rap/Hip Hop	108.00	8A
DS9 Riddim (Original Mix)	Murder He Wrote	Funky	126.00	10A
Sirens (Original Mix)	Murder He Wrote	Funky	126.00	6A
That Love Featuring Maddie Ellerby	Murder He Wrote	Funky	127.03	9A
Dem Ways Dere !	Murdz	Funky	127.00	7B
One And Only	Murlo x Novelist 		144.98	3A
One And Only	Murlo x Novelist 		144.98	3A
Together	Murlo;Conducta	Alternative;Indie Rock;Electro;Techno/House;Dance	136.00	8A
Doja Cat - Juicy	Museekal		85.00	7A
Calabria ft. Soulely	MXTT HXLL		130.00	3A
MY BAE	MY BAE	Blues	134.00	2A
Midnight Dream	Myquale	Rap/Hip Hop	165.00	9A
Lemon - Mista Bibs Drop It Like Its Hot Edit (Dirty)	N.E.R.D. ft. Rihanna		95.00	12A
Matalo	Nafthaly Ramona;Hansie;James Watss	Rap/Hip Hop	96.00	5A
Paris (feat. Jordo)	Nakala	R&B/Soul	128.00	10A
Business Woman	Nathy Peluso	Rap/Hip Hop;Pop;Latin Pop	83.00	6A
Natikillah	Nathy Peluso	Rap/Hip Hop	89.01	5A
Miss Independent	Ne-Yo	R&B/Soul	171.00	3A
Show Me Love	Nick Pacoli		88.00	10A - Energy 4
Invocacion 	Nicola Cruz (Mp3)		90.00	11A
Mantis 	Nicola Cruz (Mp3)		105.00	3A
Sendero	Nicola Cruz (Mp3)		105.00	9A
Nicolas Jaar - And I Say (Xinobi Edit)	Nicolas Jaar		115.00	9A
Just A Girl	No Doubt	Pop	107.91	
U	Noah North	Pop	104.00	
Around (Solomun Vox)	Noir and Haze	Blues	115.00	4A
Hattrick	NurryDog		108.00	
You Are	NVOY	Dance	121.00	9A
Another Level	Olamide		100.00	
Anywhere We Go Featuring Lady Chann	Oli Weeks	Funky	126.00	7B
Get Down Saturday Night	Oliver Cheatham	Pop	117.13	
Get Down Saturday Night	Oliver Cheatham	Pop	117.13	10A
Dos Uno Nueve (219)	Omar Apollo	Alternative	100.28	
Frío	Omar Apollo	Latin Music	86.00	
Post To Be	Omarion ft. Chris Brown & Jhene Aiko	Abstract	97.50	3A
Baile Saboroso (Daniel Haaksman Edit)	Omulu + King Doudou	Tropical Bass	132.00	12A
OSDHDTT (Original mix) 	Origins Sound		125.00	9A
Weak (Original mix)	Origins Sound 		123.00	8B
Hey Ya!	OutKast	Rap/Hip Hop	159.01	9A
Frontline (Yussef Dayes Remix)	Pa Salieu	Rap/Hip Hop	135.00	
Frontline	Pa Salieu	Rap/Hip Hop	97.50	
~___~	Patchrik	:')	100.02	8B
pump it + get busy riddim (4 flips 4 days)	paul mond		93.00	9A
Madrugada	Pedro	Electro;Dance;Disco	126.00	
Stuck On You	Pedro/Bryte	Electro;Dance;Disco	130.00	
Toques	Pedro/Dkvpz	Electro;Dance;Disco	130.00	
Too Much	Pedro/Magugu	Electro;Dance;Disco	130.00	
Too Much	Pedro/Magugu	Electro;Dance;Disco	130.00	
No vox Mas	Pink Teeth Remix AWWZ		120.00	8A
In another room - Pional	PionaL		107.00	6A
You	Pitto		123.00	12A
10 - Playless - Feeling Inside (CD)	PLAYLESS		124.00	
03 Work to da bone	PLAYLESS		125.00	10B
Plezier Anthem (Original Mix) 	Plezier		130.00	6B
Life in Grey	Point Point		179.96	1B
Somateria	Polkadot		125.00	10A
Uwa	Pongo	Alternativo	142.00	5A
Flying Free (Original Mix)	Pont Aeri	Dance	158.07	
Golden Hour	Poolside	Daytime Disco	116.00	
Kiss You Forever	Poolside	Daytime Disco	96.00	
Do You Believe	Poolside	Daytime Disco	104.00	
For The Cause	Pote		127.00	9B
tropics	principal dean	Presex	123.00	12A
Coño	Puri;Jhorrmountain;Adje	Dance	100.00	9A
Metelo	Puri;Kilate Tesla;Adje;Dopebwoy	Rap/Hip Hop	100.00	7A
STICKY SITUATION (feat. Syd)	QUIÑ	R&B/Soul	130.00	2A - Energy 6
Feel	Quinoa Jones		110.00	
RCHIPHOP TO LIVE	Radiocontrol		101.58	
Purple Sky (Felix M. Dowell Remix)	Raheem Bakaré feat. Tanika		134.00	10B
Family Tree	Ramz		108.00	7A
303	raumskaya		80.00	2A
Cigarette (Dirty)	RAYE ft. Mabel & Stefflon Don		115.00	10B
Confidence	RAYE, Maleek Berry & Nana Rogues	R&B/Soul	103.00	2A
Rhythm 'N' Gash (Instrumental)	Rebound X		140.00	4B
4 Rounds	ReckLess Fam	Gqom	126.95	7A
Dumebi (S!RENE Edit)	Rema		109.97	10A
Woman	Rema		113.00	
Lovenvy	Renz Young	Rap/Hip Hop	135.00	1A
What It Meant	Renz Young	Rap/Hip Hop	81.00	7A
Work	Rihanna feat. Drake	Pop	184.00	2B
Birthday Cake - DJ Smerk Mayhem Bootleg	Rihanna ft. Chris Brown		100.00	6A
Rinse & Repeat - Preditah Remix	Riton ft. Kah-Lo		130.00	6A
Folie Dansante	Rolv.K		129.99	Visit https://sophisticateddelinquency.bandcamp.com
Down The Line (It Takes A Number)	Romare		88.00	3A
Blijf Bij Mij	Ronnie Flex;Maan	Pop	98.00	6B
Aute Cuture	Rosalía	Pop	100.00	8A
A Palé	Rosalía	Pop	123.01	6A
Con Altura	Rosalía;J Balvin;El Guincho	Pop	98.00	4A
Yo x Ti, Tu x Mi	Rosalía;Ozuna	Latin Music	92.00	2A
Long Range	Roska & Untold	UK Funky	127.00	2A
Glass	Round	Electronic	119.75	6A
2 People	Royal-T	Garage	132.00	3A
Breathe	Rubee Rayne 	Slowsex	105.00	4A
Take Me	RUFUS	Indie	124.00	8A
Gods (with UV boi فوق بنفسجي)	Ryan Hemsworth		147.01	1A
Yoghurt Gurl	S-Type	Aftersex	174.98	6A
Rover (feat. DTG)	S1mba;DTG	Rap/Hip Hop	108.00	
Coca Cola Shape (feat. Fat Man Scoop) (Sexy Body Remix)	Saha;Fatman Scoop	Reggae	96.15	4A
Shades of Grey (Plastic Plates Remix) (Bonus Track)	Sam Sparro	Electronic	110.00	
Sunshine Pulse (feat. SIROJ)	Sam Tiba		115.96	2A
Never-Ending	Sango	SOULECTION	137.00	2B
Na Hora (Ft. Faktiss & Chris McClenney)	Sango		124.00	3A
É Isso Aí (Ft. Carlos)	Sango		130.00	8A
diferente	Sansai	Sansai	135.00	
Isolated	Sau Poler		122.00	4A
ICY GRL	Saweetie	Rap/Hip Hop	103.22	8A
Tap In	Saweetie	Rap/Hip Hop	100.00	
Man of the Year (Royal-T Bootleg Dub)	Schoolboy Q	Garage	130.00	2A
Future Love	SCNTST 		120.06	5B
Gimme the Light	Sean Paul	Pop	107.18	7A
Like Glue	Sean Paul 		97.90	3B
Cochon Ville (Original Mix)	Sebastien Tellier	Disco/Nu-Disco	115.00	Record MakersREC 89
Sun Loop	Sega Bodega	Electronic	131.00	7B
Tucan Bounce	Seiho		116.99	1A
Clipping Music	Seiho		87.13	2A
I Feel RAVE	Seiho		129.99	4B
Underwater	Seiho		135.00	6B
GOLD	Seiho		117.00	6B
3D printer	Seiho		117.00	12B
Patsergedrag	Sevn Alias;Boef	Rap/Hip Hop	124.00	7A
Big Man	Sevn Alias;Mula B;Trobeats	Rap/Hip Hop	96.00	9A
Smart Aleck Kill (feat. Col3trane)	SG Lewis	Electronic	150.00	9A - Energy 5
Dobale	Shaybo	Rap/Hip Hop	97.00	
Ya Dun Know	Shaybo	Rap/Hip Hop	100.00	
i'm sorry (Original Mix)	Shiloh, Swell	Electronica / Downtempo	135.00	11A
MAIN STREET ELECTRICAL PARADE	Shinichi Osawa	Electronica/Dance	125.00	9B
Bo Peep (Do U Right)	Shlohmo ft. Jeremih		120.00	9A
K E E P  U P	Sicstyle		139.99	Visit https://sophisticateddelinquency.bandcamp.com
Bam Bam	Sister Nancy	Reggae	82.97	9A
Cause and Effect	Sivey		134.03	3A
Cause and Effect 	Sivey	SOULECTION	134.00	3A
Moving On (feat. Emmavie)	Sivey	Electronic	127.00	2A - Energy 6
I Wish (Radio Edit)	Skee-Lo	Hip-Hop/Rap	97.86	6A
Bad Man Thing	Skillibeng	Reggae;Dancehall/Ragga	100.00	7A
Where Are Ü Now (feat. Justin Bieber)	Skrillex & Diplo	Dance	140.00	9B
After Sun	Skygaze 	Blues	79.87	1A
Float (BSN Posse Rmx)	Skygaze 		160.00	6A
Netflix & Dusse	Smino	Hip-Hop/Rap	0.00	
Dimalo 8g (Eq2) 44_16	SNAKEHIPS		147.00	6A
Dimalo 8g (Eq2) 44_16	SNAKEHIPS		73.50	6A
Money Finished (feat. K.O.G)	SNØW;K.O.G	Pop	130.00	2A
Soft War - This Time Around (Original Mix)_community-music-dj.com	Softwar		118.00	3A
Cranes in the Sky	Solange	R&B/Soul	97.00	2B
Best Friends (Y//2//K Remix)	Sophia Grace		100.00	12A
Lemonade	Sophie	Bass	142.99	5B
Hard	Sophie	Bass	84.00	6B
Elle	Sophie	Electronic	119.91	10B
JUST LIKE WE NEVER SAID GOODBYE	SOPHIE	PC Music	143.00	5B
L.O.V.E.	SOPHIE	PC Music	143.90	1B
VYZEE	SOPHIE	PC Music	130.00	11B
MSMSMSM	SOPHIE	PC Music	133.50	10A
HARD	SOPHIE	PC Music	84.00	6B
LEMONADE	SOPHIE	PC Music	143.00	5B
ELLE	SOPHIE	PC Music	119.91	10B
BIPP	SOPHIE	PC Music	124.00	11B
Just Like We Never Said Goodbye (Radiocontrol edit)	SOPHIE		143.00	5B
JUST LIKE WE NEVER SAID GOODBYE	SOPHIE	PC Music	143.00	5B
LEMONADE	SOPHIE	PC Music	143.00	5B
Just Like We Never Said Goodbye (Radiocontrol edit)	SOPHIE		143.00	5B
Get ur Freak on (baile edit)	Soulely		130.00	4A
Raingurl (flip)	Soulely		130.00	5A
Soulely - Show Me Love (R&B Drill edit)	Soulely		74.00	2A
Visto	SPF		127.04	7A
One Dance	SRNO	Downtempo	126.97	5A - Energy 5
Keep It Movin' (feat. Rell Rock)	Stanton Warriors & Tony Quattro	Танцевальная музыка	126.00	4A
III/IV	Star Slinger		126.00	3A
Soco	Starboy;Wizkid;Ceeza Milli;Spotless;Terri		108.00	7A
Music sounds better with you (panda under the influence remix)	Stardust 		134.00	7B
Time Off	starRo & Kyle Dion	Electronic	80.00	7A - Energy 6
Ding-A-Ling (Clean)	Stefflon Don ft. Skepta		86.00	1A
Mauda	StéLouse 		145.00	3A
Airglows	Sterio & Robot Orchestra 	Presex	78.00	2A
Mami Dónde Estás?	Sticky M.a.;Juicy BAE;Jambo	Rap/Hip Hop	83.50	9A
Own It (feat. Ed Sheeran & Burna Boy)	Stormzy;Ed Sheeran;Burna Boy	Rap/Hip Hop	104.00	6A
Aura	Stwo	Other	139.78	7A
Stwo - Eden (oshi remix)	Stwo		121.00	6A
Thinking (Maths Time Joy Remix)	Submotion Orchestra		140.00	5A
Dumpling Dubplate (feat. Stylo G)	Surekoer;Stylo G	Rap/Hip Hop	96.00	
Tú Me Haces Sentir	Swallow X;Nico Miseria	Rap/Hip Hop;Pop	113.00	
Lyca (Jaded Remix)	Swarmz	Rap/Hip Hop	124.00	11A
I Got U	Sweater Beats		133.00	11A
Where You Are (feat. Bella Hunter)	Sweater Beats & Vindata	Electronica	140.00	9A
I'm Sorry (Feat. Shiloh)	Swell	Electrónica	135.00	11A
Pull Up	Swift	Hip-Hop/Rap	74.00	
All About Me	Syd	R&B/Soul	119.00	8A
Hollow	Syn & Doubt		126.00	11A
In My Arms	Synkro & Manos	Aftersex	85.00	5B
Chop & Screw	T.Williams	Funky	126.50	8A
Long Time No See (feat. Atu)	Ta-ku	Электронная музыка	114.02	7B
Trust Me	Ta-ku	Электронная музыка	146.00	2B
Uh	Ta-ku 	Aftersex	90.00	12A
Vegas (Joey Mccrilley Remix)	TÂCHES 		126.00	6B
The Dirt	Tapok	Electronica	134.00	6A
Kid U	Tarquin	Electronic	140.00	7B
Corona (Vocal Version)	TC4, Moad	Funky	128.00	7A
Secrets	Teen Flirt		127.99	3B
Walking With Elephants (Original Mix) 	Ten Walls		120.00	8A
Лев (Kolya Funk Radio Mix)	Tenca	Rap/Hip Hop	105.00	
Blue Face - Thotiana (Tera Kora & Paul Mond remix) bust down senorita	Tera Kora & Paul Mond		104.00	
Telepathy (feat Olivia Louise)	Terror Danjah & Zed Bias	Bass	99.00	6A
The champ extended mix	The mohawks	Blues	108.00	8B
just a flow	the other side		130.00	7B
Ed Reed Jersey	The Range	Aftersex	95.98	11B
At Night by The Rub	The Rub	Electronic	129.98	4A
The Hills	The Weeknd	R&B/Soul	113.00	5A
Can't Feel My Face	The Weeknd	R&B/Soul	108.00	8A
The Morning (Atlantic Connection mix)	The Weeknd	Electronic	140.00	11B
fly girl	thomas white	Sex	125.00	8A
kiskisspatlok	Thugedit		120.00	7B
Them Changes	Thundercat	R&B/Soul	81.70	2A
Ponto Ai Amor	Ticklish	Baile Funk	129.00	
Make It Rain	Ticklish & Qnoe		75.00	9A
Cold Sweat	Tinashe	R&B/Soul	129.84	2A
Faded Love - DJ Serg Sniper Re-Drum (Clean)	Tinashe ft. Future		100.00	4A
Top Winners (feat. Not3s)	Tinie;Not3s	Rap/Hip Hop	108.00	
Don't Tell Nobody (Falcons Bootleg)	Tink Ft. Jeremih	Sex extasis	134.00	5A
I'm On (Clean)	Tion Wayne ft. Kojo Funds		102.00	4A - Energy 6
Oye Oye Va (Kayman Rework)	Tito Puente		125.00	8A - Energy 7
Shake	TJ Groover		126.00	
Nothing (LO EDIT)	TJPN & LO 		130.00	7B
Waterfalls	TLC	R&B/Soul	85.89	5B
Higher Ground	TNGHT	Trap, EDM, Warp, Master, Publishing, Instrumental, Vocal FX	160.74	11A
Day 2: Feeling (feat. Novelist)	Tom Misch	Alternative	144.01	12A - Energy 6
